"commune_code","nom","millesimes_1","pourcent_artif_1","surface_artif_1","millesimes_2","pourcent_artif_2","surface_artif_2","flux_surface_1_2","flux_percent_1_2","departement_code","region_code","epci_code","scot_code","commune_surface"
"17186","Le Gué-d'Alleré","2018",9.70039822119825,743210.9396,"2021",10.5588160794385,808979.945,65769.0054,0.858417858240225,"17","75","200041499","237",7661653.90999994
"17187","Guitinières","2018",9.0200350537819,831943.7381,"2021",9.34855881498956,862244.4281,30300.69,0.328523761207668,"17","75","200041523","10322",9223287.19500025
"17188","Haimps","2018",4.99215793833986,927168.8184,"2021",4.96130116172639,921437.9418,-5730.8766,-0.0308567766134624,"17","75","200041689","31",18572505.7150001
"17190","L'Houmeau","2018",33.5095787128067,1467074.381,"2021",34.2742170994685,1500550.8206,33476.4396,0.764638386661815,"17","75","241700434","237",4378074.67999983
"17191","La Jard","2018",6.40012786677815,539863.6623,"2021",6.42369850432475,541851.893,1988.2307,0.0235706375466016,"17","75","200036473","32",8435201.19500003
"17192","Jarnac-Champagne","2018",7.26487150268278,1580759.1494,"2021",7.3292780512251,1594773.3327,14014.1833,0.0644065485423173,"17","75","200041523","10322",21758941.6249999
"17193","La Jarne","2018",19.4359459194837,1660567.4505,"2021",20.8129823499974,1778218.6255,117651.175,1.37703643051367,"17","75","241700434","237",8543795.38500029
"17194","La Jarrie","2018",19.2351981873034,1832125.3903,"2021",19.292267653029,1837561.1761,5435.7858,0.0570694657256006,"17","75","241700434","237",9524858.3999999
"17195","La Jarrie-Audouin","2018",6.40000324834579,541302.2661,"2021",6.42558299063569,543465.7607,2163.4946,0.025579742289902,"17","75","200041689","31",8457843.61499989
"17196","Jazennes","2018",8.5828635584619,931127.5997,"2021",8.67510858991609,941134.9701,10007.3704,0.0922450314541887,"17","75","241700632","32",10848682.2999999
"17197","Jonzac","2018",29.5032381795099,3845583.1059,"2021",30.2035248083799,3936861.5755,91278.4696,0.700286628869954,"17","75","200041523","10322",13034444.1599999
"17198","Juicq","2018",4.86523176676184,456665.2953,"2021",4.92278214716892,462067.1472,5401.8519,0.0575503804070721,"17","75","200041689","31",9386300.94499985
"17199","Jussas","2018",3.52963058134261,324256.2163,"2021",3.60570386750193,331244.8332,6988.6169,0.0760732861593185,"17","75","200041523","10322",9186689.90500016
"17200","Lagord","2018",48.4854992233782,3878031.5949,"2021",49.7474253414151,3978964.6457,100933.0508,1.26192611803691,"17","75","241700434","237",7998332.81499994
"17201","La Laigne","2018",11.8239361676803,512346.4153,"2021",11.8239376515964,512346.4796,0.0643,1.48391610288456e-06,"17","75","200041499","237",4333129.07000002
"17202","Landes","2018",6.62825239304872,1061529.0077,"2021",6.62870431012078,1061601.3832,72.3755,0.000451917072066266,"17","75","200041689","31",16015217.0550002
"17203","Landrais","2018",5.58513175947839,870823.3003,"2021",5.64216322973972,879715.5405,8892.2402,0.0570314702613279,"17","75","200041614","237",15591813.0100001
"17204","Léoville","2018",7.4024804506057,758098.7769,"2021",7.39066474281613,756888.7131,-1210.0638,-0.0118157077895757,"17","75","200041523","10322",10241145.2749999
"17205","Loire-les-Marais","2018",3.57531851072945,443746.3024,"2021",3.52874981864276,437966.4859,-5779.8165,-0.0465686920866819,"17","75","200041762","30",12411378.2049999
"17206","Loiré-sur-Nie","2018",4.66926919046808,677802.4396,"2021",4.71303404277919,684155.4517,6353.0121,0.0437648523111047,"17","75","200041689","31",14516242.5200003
"17207","Loix","2018",18.3597806936426,1152380.6391,"2021",22.5554238025856,1415726.8069,263346.1678,4.19564310894296,"17","75","241700459","",6276657.97499984
