DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,N° SIREN,N° INSEE si commune,Communes membres de la coll,Avec ou sans CCSPL,Agence(s) de l'eau,Bassin(s) concerné(s),Sous-Unité(s) DCE concernée(s),Id SISPEA de l'entité de gestion,Nom de l'entité de gestion,Communes adhérentes de l'entité de gestion,EPCI adhérents de l'entité de gestion,Pop communes adhérentes,Pop de l'entité de gestion sans double compte,Communes desservies seulement,Collecte,Transport,Dépollution,Mode de gestion,Statut de l'opérateur,Nom de l'opérateur,Date de début de contrat,Date de fin de contrat,Nb d'ouvrages - STEU,Convention de délégation de compétences,Date de début de la convention de délégation de compétences,Date de fin de la convention de délégation de compétences,Statut,Origine saisie des IP,Origine publication des IP,Id SISPEA ouvrage,Nom ouvrage,Code SANDRE ouvrage,D203.0,P203.3,P204.3,P205.3,P206.3,P254.3,VP.176,VP.209,VP.210,VP.211
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,35940,La Gimond- Bourg,0442100S0001,0,,,,,100,12,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36452,La Valla en Gier- Luzernod,06423210001,0,,,,,100,"6,6",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36015,Marcenod- Campillon,0442133S0002,0,100,100,100,,100,"24,9",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36014,Marcenod- Chazot,0442133S0001,0,,,,,100,"17,4",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36123,Pavezin- Le Bourg,060942167001,0,100,100,100,,100,18,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36158,Rozier Cote d'Aurec- Martinange,0442192S0001,0,,,,,100,"6,5",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,148494,Rozier Côtes d'Aurec- Le bourg,0442192S0002,0,,,,,100,10,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36159,Rozier Côtes d'Aurec- Rochegut,0442192S0003,0,,,,,100,"7,2",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36212,Saint Bonnet les Oules- Liminaire,0442206S0001,"32,9",100,0,0,100,100,"69,9","32,91",12,12
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36247,Saint Genest Lerpt- Pontsonneau,0442223S0001,127,100,100,100,100,"92,3",874,"127,02",12,13
