DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,N° SIREN,N° INSEE si commune,Communes membres de la coll,Avec ou sans CCSPL,Agence(s) de l'eau,Bassin(s) concerné(s),Sous-Unité(s) DCE concernée(s),Id SISPEA de l'entité de gestion,Code UGE de l'entité de gestion,Nom de l'entité de gestion,Communes adhérentes de l'entité de gestion,EPCI adhérents de l'entité de gestion,Pop communes adhérentes,Pop de l'entité de gestion sans double compte,Communes desservies seulement,Production,Transfert,Distribution,Mode de gestion,Statut de l'opérateur,Nom de l'opérateur,Date de début de contrat,Date de fin de contrat,Nb d'ouvrages - Prélèvement,Convention de délégation de compétences,Date de début de la convention de délégation de compétences,Date de fin de la convention de délégation de compétences,Statut,Origine saisie des IP,Origine publication des IP,Id SISPEA ouvrage,Nom ouvrage,Code SISEAUX ouvrage,VP.194,VP.212,VP.223
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,2273,Ressource de la Dhuy - droit d'eau de 25 l /s sur la source de la Dhuy à Domène,038000015,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1993,captage Amodru à Domène,038000020,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1610,captage Arthaud au haut Seyssins à Seyssins,038000810,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1614,captage Buissonnière à Séchilienne,038000167,,,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1996,captage Chapuis à Domène,038000023,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1609,captage Charbonneaux aux Côtes à Seyssins,038000811,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,2313,captage Chatelard au Gua (secours),038000496,,,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1843,captage Combe jardin à Claix,038001005,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1580,captage Croz à Quaix,038001779,,40,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1995,captage Curt à Domène,038000021,,80,
