DPT de la commune,Nom de la commune adhérente,Identifiant SISPEA de la commune adhérente,Code INSEE de la commune adhérente,Population de la commune,Type d'adhésion,Nom de la collectivité via laquelle la commune adhère,N° SIREN de la collectivité via laquelle la commune adhère,Identifiant SISPEA de la collectivité via laquelle la commune adhère,Nom de la collectivité de l'entité de gestion à laquelle la commune adhère,Identifiant SISPEA de la collectivité de l'entité de gestion à laquelle la commune adhère,Type de collectivité,N° SIREN,Avec ou sans CCSPL,Compétence,Nom de l'entité de gestion à laquelle la commune adhère,Identifiant SISPEA de l'entité de gestion à laquelle la commune adhère,Code UGE (eau potabe),Zone tarifaire 1,Tarif zone tarifaire 1,Zone tarifaire 2,Tarif zone tarifaire 2,Zone tarifaire 3,Tarif zone tarifaire 3,Zone tarifaire 4,Tarif zone tarifaire 4,Zone tarifaire 5,Tarif zone tarifaire 5
42,Cellieu,16705,42032,1697,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Cellieu-Chagnon,80598,0420167,Indicateur tarif,"2,33",,,,,,,,
42,Chagnon,16709,42036,490,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Cellieu-Chagnon,80598,0420167,Indicateur tarif,"2,33",,,,,,,,
42,Roche-la-Molière,16858,42189,9697,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Roche la Molière,80403,0420012,Indicateur tarif,"3,19",,,,,,,,
42,Saint-Martin-la-Plaine,16924,42259,3755,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint Martin la Plaine,80492,0420055,Indicateur tarif,"3,4",,,,,,,,
42,Pavezin,16836,42167,354,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Pavezin,80379,0420109,Indicateur tarif,"3,46",,,,,,,,
42,Saint-Genest-Lerpt,16891,42223,6131,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint Genest Lerpt,80446,0420009,Indicateur tarif,"2,63",,,,,,,,
42,Le Chambon-Feugerolles,16717,42044,12317,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Le Chambon Feugerolles,80227,0420036,Indicateur tarif,"2,49",,,,,,,,
42,La Ricamarie,16852,42183,7906,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : La Ricamarie,80398,0420035,Indicateur tarif,"3,08",,,,,,,,
76,La Bouille,31236,76131,753,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,La Londe,31493,76391,2334,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Amfreville-la-Mi-Voie,31112,76005,3273,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Fontaine-sous-Préaux,31375,76273,508,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Malaunay,31504,76402,6110,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Roncherolles-sur-le-Vivier,31637,76536,1114,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Anneville-Ambourville,31127,76020,1190,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Freneuse,31384,76282,932,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
