Code du département,Libellé du département,Code de la commune,Libellé de la commune,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Non-Exprimés,% Non-Exp/Ins,% Non-Exp/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Année,Numéro de tour
76,Seine-Maritime,216,Déville-lès-Rouen,6730,4512,67.04,2218,32.96,93,1.38,4.19,2125,31.58,95.81,2020,1
76,Seine-Maritime,222,Duclair,3121,1507,48.29,1614,51.71,26,0.83,1.61,1588,50.88,98.39,2020,1
76,Seine-Maritime,231,Elbeuf,9467,6172,65.19,3295,34.81,96,1.01,2.91,3199,33.79,97.09,2020,1
76,Seine-Maritime,237,Epinay-sur-Duclair,421,231,54.87,190,45.13,0,0.0,0.0,190,45.13,100.0,2020,1
76,Seine-Maritime,273,Fontaine-sous-Préaux,417,236,56.59,181,43.41,10,2.4,5.52,171,41.01,94.48,2020,1
76,Seine-Maritime,282,Freneuse,714,460,64.43,254,35.57,10,1.4,3.94,244,34.17,96.06,2020,1
76,Seine-Maritime,313,Gouy,711,449,63.15,262,36.85,5,0.7,1.91,257,36.15,98.09,2020,1
76,Seine-Maritime,319,Grand-Couronne,6619,3777,57.06,2842,42.94,80,1.21,2.81,2762,41.73,97.19,2020,1
76,Seine-Maritime,322,Le Grand-Quevilly,18718,10756,57.46,7962,42.54,301,1.61,3.78,7661,40.93,96.22,2020,1
76,Seine-Maritime,350,Hautot-sur-Seine,291,87,29.9,204,70.1,0,0.0,0.0,204,70.1,100.0,2020,1
76,Seine-Maritime,354,Hénouville,1061,430,40.53,631,59.47,16,1.51,2.54,615,57.96,97.46,2020,1
76,Seine-Maritime,366,Le Houlme,3065,1964,64.08,1101,35.92,39,1.27,3.54,1062,34.65,96.46,2020,1
