Code du département,Libellé du département,Code de la commune,Libellé de la commune,Code B.Vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N.Pan.,Code Nuance,Sexe
38,Isère,485,Seyssinet-Pariset,1,812,480,59.11,332,40.89,1,0.12,0.3,4,0.49,1.2,327,40.27,98.49,1,LDVD,M
38,Isère,485,Seyssinet-Pariset,2,1006,534,53.08,472,46.92,3,0.3,0.64,10,0.99,2.12,459,45.63,97.25,1,LDVD,M
38,Isère,485,Seyssinet-Pariset,3,798,500,62.66,298,37.34,3,0.38,1.01,7,0.88,2.35,288,36.09,96.64,1,LDVD,M
38,Isère,485,Seyssinet-Pariset,4,1004,562,55.98,442,44.02,3,0.3,0.68,6,0.6,1.36,433,43.13,97.96,1,LDVD,M
38,Isère,485,Seyssinet-Pariset,5,983,478,48.63,505,51.37,2,0.2,0.4,4,0.41,0.79,499,50.76,98.81,1,LDVD,M
38,Isère,485,Seyssinet-Pariset,6,199,83,41.71,116,58.29,1,0.5,0.86,0,0.0,0.0,115,57.79,99.14,1,LDVD,M
38,Isère,485,Seyssinet-Pariset,7,1211,666,55.0,545,45.0,2,0.17,0.37,4,0.33,0.73,539,44.51,98.9,1,LDVD,M
38,Isère,485,Seyssinet-Pariset,8,842,481,57.13,361,42.87,3,0.36,0.83,8,0.95,2.22,350,41.57,96.95,1,LDVD,M
38,Isère,485,Seyssinet-Pariset,9,640,350,54.69,290,45.31,2,0.31,0.69,5,0.78,1.72,283,44.22,97.59,1,LDVD,M
38,Isère,485,Seyssinet-Pariset,10,702,311,44.3,391,55.7,1,0.14,0.26,3,0.43,0.77,387,55.13,98.98,1,LDVD,M
38,Isère,486,Seyssins,1,871,464,53.27,407,46.73,6,0.69,1.47,10,1.15,2.46,391,44.89,96.07,1,LLR,F
38,Isère,486,Seyssins,2,1044,506,48.47,538,51.53,2,0.19,0.37,3,0.29,0.56,533,51.05,99.07,1,LLR,F
