Code_commune_residence,Commune_residence,Code_lieu_travail,Lieu_travail,Actifs_occupes_flux_domicile_travail
35039,Brécé,35207,Noyal-sur-Vilaine,122.7
35039,Brécé,35238,Rennes,314.75
35039,Brécé,35240,Le Rheu,15.12
35039,Brécé,35264,Saint-Didier,5.56
35039,Brécé,35275,Saint-Gilles,5.79
35039,Brécé,35278,Saint-Grégoire,25.41
35039,Brécé,35281,Saint-Jacques-de-la-Lande,20.95
35039,Brécé,35327,Servon-sur-Vilaine,47.88
35039,Brécé,35334,Thorigné-Fouillard,5.33
35039,Brécé,35338,Torcé,10.03
35039,Brécé,35352,Vern-sur-Seiche,10.25
35039,Brécé,35360,Vitré,4.91
35039,Brécé,75116,Paris 16e Arrondissement,5.12
35047,Bruz,13202,Marseille 2e Arrondissement,2.0
35047,Bruz,14327,Hérouville-Saint-Clair,3.63
35047,Bruz,14342,Isigny-sur-Mer,3.61
35047,Bruz,14366,Lisieux,0.95
35047,Bruz,14437,Mondeville,3.21
35047,Bruz,18033,Bourges,3.66
35047,Bruz,21054,Beaune,3.61
35047,Bruz,22020,Broons,5.58
35047,Bruz,22050,Dinan,5.94
35047,Bruz,22093,Lamballe-Armor,0.96
35047,Bruz,22113,Lannion,6.42
35047,Bruz,22187,Plérin,1.22
35047,Bruz,22190,Pleslin-Trigavou,3.16
35047,Bruz,22215,Ploufragan,3.21
35047,Bruz,22259,Quévert,3.61
35047,Bruz,22278,Saint-Brieuc,1.4
35047,Bruz,22305,Saint-Jouan-de-l'Isle,1.08
35047,Bruz,22371,Trémorel,2.19
35047,Bruz,26281,Romans-sur-Isère,1.09
35047,Bruz,27229,Évreux,6.42
35047,Bruz,29019,Brest,1.22
35047,Bruz,29103,Landerneau,6.59
35047,Bruz,29232,Quimper,1.39
35047,Bruz,29302,Pont-de-Buis-lès-Quimerch,3.14
35047,Bruz,31033,Auterive,4.86
35047,Bruz,31451,Revel,4.14
35047,Bruz,34172,Montpellier,1.09
35047,Bruz,34198,Pérols,4.14
35047,Bruz,35001,Acigné,11.41
35047,Bruz,35006,Argentré-du-Plessis,3.72
35047,Bruz,35008,Availles-sur-Seiche,3.16
35047,Bruz,35012,Bain-de-Bretagne,60.1
35047,Bruz,35013,Bains-sur-Oust,2.7
35047,Bruz,35016,Baulon,3.6
35047,Bruz,35023,Bédée,5.62
35047,Bruz,35024,Betton,19.0
35047,Bruz,35032,Bourgbarré,57.58
35047,Bruz,35033,Bourg-des-Comptes,16.7
35047,Bruz,35037,Bréal-sous-Montfort,28.04
35047,Bruz,35039,Brécé,26.36
35047,Bruz,35041,Brie,1.4
35047,Bruz,35047,Bruz,2562.59
35047,Bruz,35051,Cesson-Sévigné,403.23
35047,Bruz,35055,Chantepie,103.43
35047,Bruz,35058,La Chapelle-Chaussée,1.39
35047,Bruz,35059,La Chapelle-des-Fougeretz,5.22
35047,Bruz,35066,Chartres-de-Bretagne,279.24
35047,Bruz,35068,Châteaubourg,8.48
35047,Bruz,35069,Châteaugiron,18.75
35047,Bruz,35076,Chavagne,19.91
35047,Bruz,35080,Cintré,4.86
35047,Bruz,35087,Cornillé,5.54
35047,Bruz,35088,Corps-Nuds,7.9
35047,Bruz,35090,Crevin,5.59
