territoire,densite_2022,deces_2024,Emploi - Chômage au sens du recensement,emploi_total_2022,Logement,revenu_median_2021,naissances_2024,nb_etab_2023,nb_menages_2022,nb_menages_fiscaux_2021,nb_logements_2022,part_admin,part_agri,part_industrie,part_construction,part_logements_vacants,part_menages_imposes,part_proprietaires,part_res_principales,part_res_secondaires,part_etab_1_9,part_etab_10_plus,part_commerce,population_2022,revenus,superficie_km2_2022,tx_activite_15_64,tx_chomage_15_64,tx_pauvrete_2021,tx_var_emploi_2016_2022,tx_var_population_2016_2022,part_emploi_salarie,tx_solde_migratoire,tx_solde_naturel,Établissements
Commune : Grenoble (38185),8626.0,1088,,100370,,22140.0,1795,6535,83825,71309.0,101686,12.8,0.1,3.9,6.2,13.3,54.0,36.4,82.4,4.3,70.9,18.4,77.0,156389,,18.1,70.7,13.5,21.0,0.8,-0.2,87.6,-0.8,0.6,
Commune : Herbeys (38188),179.6,10,,130,,32700.0,12,27,592,583.0,657,11.1,11.1,3.7,29.6,8.0,,81.9,90.1,1.9,74.1,7.4,44.4,1388,,7.7,78.5,7.8,,-4.7,0.3,57.4,-0.1,0.4,
Commune : Jarrie (38200),296.0,24,,1634,,28430.0,34,66,1667,1603.0,1821,16.7,0.0,12.1,13.6,7.1,71.0,71.7,91.5,1.3,75.8,16.7,57.6,3925,,13.3,76.6,7.7,6.0,0.7,0.8,92.0,0.5,0.3,
Commune : La Tronche (38516),1004.2,77,,10026,,30000.0,53,212,2906,2524.0,3425,16.5,0.5,4.2,3.3,11.8,68.0,49.5,84.8,3.3,70.8,20.8,75.5,6447,,6.4,68.9,7.8,9.0,1.2,-0.5,95.8,-0.7,0.1,
Commune : Le Gua (38187),66.1,13,,188,,26220.0,16,28,791,786.0,1009,21.4,7.1,3.6,14.3,16.2,,83.1,78.4,5.4,82.1,10.7,53.6,1883,,28.5,80.7,6.6,,2.7,0.8,55.1,0.5,0.2,
Commune : Le Pont-de-Claix (38317),1936.8,99,,5730,,20220.0,130,268,4741,4370.0,5155,14.2,0.0,10.8,18.7,7.3,46.0,51.9,92.0,0.7,69.8,22.4,56.3,10846,,5.6,76.9,12.5,21.0,0.5,0.2,93.1,-0.3,0.5,
Commune : Le Sappey-en-Chartreuse (38471),76.3,8,,146,,31410.0,13,35,451,418.0,597,20.0,2.9,2.9,8.6,9.9,,76.8,75.5,14.6,77.1,8.6,65.7,1154,,15.1,82.3,4.8,,3.1,0.6,66.8,-0.3,0.9,
Commune : Meylan (38229),1525.2,178,,11533,,30440.0,156,838,8950,8521.0,9843,13.1,0.2,5.0,5.4,5.7,70.0,61.1,90.9,3.3,68.0,23.0,76.3,18790,,12.3,76.3,7.6,7.0,-0.5,1.6,87.7,1.5,0.1,
Commune : Miribel-Lanchâtre (38235),46.6,1,,56,,27470.0,4,15,173,154.0,190,13.3,0.0,6.7,33.3,1.6,,77.0,90.9,7.5,80.0,6.7,46.7,450,,9.7,81.1,4.4,,-1.6,1.1,75.6,0.4,0.7,
Commune : Mont-Saint-Martin (38258),17.5,0,,1,,,0,1,45,,49,100.0,0.0,0.0,0.0,4.1,,86.7,91.8,4.1,100.0,0.0,0.0,93,,5.3,91.1,7.3,,-10.9,2.5,0.0,1.0,1.6,
Commune : Montchaboud (38252),177.0,4,,19,,29550.0,1,1,148,147.0,154,100.0,0.0,0.0,0.0,2.8,,94.0,95.8,1.4,100.0,0.0,0.0,347,,2.0,82.5,2.6,,4.5,-0.1,42.1,-0.4,0.3,
Commune : Murianette (38271),142.7,3,,94,,28880.0,9,14,358,322.0,375,14.3,14.3,7.1,14.3,3.3,,77.8,95.6,1.1,64.3,21.4,50.0,866,,6.1,78.1,5.0,,-0.2,-0.5,62.3,-0.7,0.2,
Commune : Notre-Dame-de-Commiers (38277),110.0,2,,44,,26970.0,4,12,202,197.0,222,16.7,8.3,0.0,41.7,6.2,,87.5,90.7,3.1,83.3,0.0,33.3,527,,4.8,79.1,4.4,,7.5,0.9,55.2,0.2,0.8,
Commune : Notre-Dame-de-Mésage (38279),246.6,5,,63,,26290.0,9,14,483,476.0,514,21.4,0.0,7.1,21.4,4.7,,89.7,93.9,1.4,78.6,7.1,50.0,1117,,4.5,79.2,2.8,,4.8,-0.7,59.8,-0.7,0.0,
Commune : Noyarey (38281),137.7,29,,754,,26880.0,20,84,940,936.0,1026,9.5,3.6,15.5,11.9,6.4,70.0,79.5,91.6,2.0,63.1,26.2,59.5,2321,,16.9,80.2,5.6,,3.0,0.6,85.7,0.7,-0.1,
Commune : Poisat (38309),828.1,14,,327,,28010.0,18,55,935,913.0,993,14.5,0.0,1.8,29.1,5.3,71.0,70.9,94.1,0.6,74.5,16.4,54.5,2120,,2.6,74.7,5.5,,-1.3,-0.7,71.4,-0.7,0.1,
Commune : Proveysieux (38325),25.5,1,,42,,27350.0,2,6,214,207.0,272,33.3,0.0,0.0,16.7,10.2,,87.4,78.9,10.9,100.0,0.0,50.0,519,,20.4,75.4,4.4,,7.2,0.5,57.3,0.0,0.5,
Commune : Quaix-en-Chartreuse (38328),51.2,5,,115,,31990.0,11,12,377,359.0,424,33.3,0.0,0.0,25.0,6.2,,84.8,89.1,4.7,58.3,33.3,41.7,926,,18.1,86.1,3.8,,8.8,0.5,54.0,-0.1,0.6,
