Code_commune_residence,Commune_residence,Code_lieu_etudes,Lieu_etudes,Eleves_etudiants_flux_domicile_etudes
35051,Cesson-Sévigné,35162,Louvigné-du-Désert,1.88
35051,Cesson-Sévigné,35177,La Mézière,3.54
35051,Cesson-Sévigné,35207,Noyal-sur-Vilaine,3.36
35051,Cesson-Sévigné,35236,Redon,11.67
35051,Cesson-Sévigné,35238,Rennes,1721.93
35051,Cesson-Sévigné,35251,Saint-Aubin-d'Aubigné,4.08
35051,Cesson-Sévigné,35253,Saint-Aubin-du-Cormier,10.31
35051,Cesson-Sévigné,35278,Saint-Grégoire,16.42
35051,Cesson-Sévigné,35281,Saint-Jacques-de-la-Lande,7.88
35051,Cesson-Sévigné,35288,Saint-Malo,10.01
35051,Cesson-Sévigné,35334,Thorigné-Fouillard,1.16
35051,Cesson-Sévigné,35352,Vern-sur-Seiche,3.36
35051,Cesson-Sévigné,35360,Vitré,4.08
35051,Cesson-Sévigné,38185,Grenoble,4.96
35051,Cesson-Sévigné,38421,Saint-Martin-d'Hères,3.33
35051,Cesson-Sévigné,44026,Carquefou,1.21
35051,Cesson-Sévigné,44109,Nantes,10.09
35051,Cesson-Sévigné,49007,Angers,5.73
35051,Cesson-Sévigné,49099,Cholet,4.08
35051,Cesson-Sévigné,51454,Reims,8.27
35051,Cesson-Sévigné,53130,Laval,8.35
35051,Cesson-Sévigné,56161,Ploemel,3.33
35051,Cesson-Sévigné,56260,Vannes,5.86
35051,Cesson-Sévigné,57463,Metz,1.66
35051,Cesson-Sévigné,63113,Clermont-Ferrand,1.66
35051,Cesson-Sévigné,69382,Lyon 2e Arrondissement,5.67
35051,Cesson-Sévigné,69387,Lyon 7e Arrondissement,1.66
35051,Cesson-Sévigné,75105,Paris 5e Arrondissement,1.02
35051,Cesson-Sévigné,75111,Paris 11e Arrondissement,1.66
35051,Cesson-Sévigné,75115,Paris 15e Arrondissement,6.87
35051,Cesson-Sévigné,75116,Paris 16e Arrondissement,1.2
35051,Cesson-Sévigné,75119,Paris 19e Arrondissement,6.37
35051,Cesson-Sévigné,75120,Paris 20e Arrondissement,1.2
35051,Cesson-Sévigné,77067,Cesson,12.63
35051,Cesson-Sévigné,78646,Versailles,5.86
35051,Cesson-Sévigné,86194,Poitiers,1.88
35051,Cesson-Sévigné,87085,Limoges,4.2
35055,Chantepie,22113,Lannion,2.71
35055,Chantepie,22266,Rostrenen,3.38
35055,Chantepie,29019,Brest,6.29
35055,Chantepie,29026,Châteaulin,2.71
35055,Chantepie,30189,Nîmes,10.0
35055,Chantepie,33213,La Brède,6.09
35055,Chantepie,33318,Pessac,3.38
35055,Chantepie,34022,Baillargues,3.04
35055,Chantepie,34172,Montpellier,3.04
35055,Chantepie,34247,Saint-Clément-de-Rivière,15.22
35055,Chantepie,35047,Bruz,25.36
35055,Chantepie,35051,Cesson-Sévigné,107.65
35055,Chantepie,35055,Chantepie,950.21
35055,Chantepie,35066,Chartres-de-Bretagne,5.71
35055,Chantepie,35093,Dinard,4.86
35055,Chantepie,35115,Fougères,3.78
35055,Chantepie,35126,Guichen,3.78
35055,Chantepie,35152,Liffré,3.38
35055,Chantepie,35196,Mordelles,5.43
35055,Chantepie,35206,Noyal-Châtillon-sur-Seiche,15.96
35055,Chantepie,35207,Noyal-sur-Vilaine,2.73
35055,Chantepie,35238,Rennes,1060.3
35055,Chantepie,35251,Saint-Aubin-d'Aubigné,1.0
35055,Chantepie,35278,Saint-Grégoire,12.13
35055,Chantepie,35297,Saint-Méen-le-Grand,0.97
35055,Chantepie,35327,Servon-sur-Vilaine,3.02
35055,Chantepie,35352,Vern-sur-Seiche,17.89
35055,Chantepie,35360,Vitré,8.97
35055,Chantepie,38185,Grenoble,2.94
35055,Chantepie,44109,Nantes,3.77
35055,Chantepie,53130,Laval,7.03
35055,Chantepie,56121,Lorient,0.97
35055,Chantepie,56260,Vannes,4.66
35055,Chantepie,69382,Lyon 2e Arrondissement,2.5
35055,Chantepie,75110,Paris 10e Arrondissement,1.94
35055,Chantepie,75115,Paris 15e Arrondissement,7.3
35055,Chantepie,75117,Paris 17e Arrondissement,5.4
35055,Chantepie,91477,Palaiseau,2.74
35058,La Chapelle-Chaussée,35022,Bécherel,5.2
35058,La Chapelle-Chaussée,35058,La Chapelle-Chaussée,136.91
35058,La Chapelle-Chaussée,35146,Langouet,5.05
35058,La Chapelle-Chaussée,35188,Montfort-sur-Meu,15.02
35058,La Chapelle-Chaussée,35210,Pacé,5.35
35058,La Chapelle-Chaussée,35238,Rennes,66.16
35058,La Chapelle-Chaussée,35245,Romillé,40.44
35058,La Chapelle-Chaussée,35253,Saint-Aubin-du-Cormier,4.77
35058,La Chapelle-Chaussée,35278,Saint-Grégoire,15.91
35058,La Chapelle-Chaussée,35281,Saint-Jacques-de-la-Lande,10.11
35058,La Chapelle-Chaussée,35337,Tinténiac,81.45
35058,La Chapelle-Chaussée,38185,Grenoble,4.77
35059,La Chapelle-des-Fougeretz,21231,Dijon,5.0
35059,La Chapelle-des-Fougeretz,22050,Dinan,4.87
35059,La Chapelle-des-Fougeretz,22070,Guingamp,4.94
35059,La Chapelle-des-Fougeretz,29039,Concarneau,4.87
35059,La Chapelle-des-Fougeretz,34032,Béziers,5.0
35059,La Chapelle-des-Fougeretz,35024,Betton,10.01
35059,La Chapelle-des-Fougeretz,35047,Bruz,14.74
35059,La Chapelle-des-Fougeretz,35051,Cesson-Sévigné,19.88
35059,La Chapelle-des-Fougeretz,35059,La Chapelle-des-Fougeretz,507.05
35059,La Chapelle-des-Fougeretz,35066,Chartres-de-Bretagne,5.07
35059,La Chapelle-des-Fougeretz,35177,La Mézière,44.5
35059,La Chapelle-des-Fougeretz,35189,Montgermont,14.67
35059,La Chapelle-des-Fougeretz,35210,Pacé,241.86
35059,La Chapelle-des-Fougeretz,35238,Rennes,213.55
35059,La Chapelle-des-Fougeretz,35278,Saint-Grégoire,39.7
35059,La Chapelle-des-Fougeretz,44109,Nantes,5.0
35059,La Chapelle-des-Fougeretz,56184,Questembert,5.0
35059,La Chapelle-des-Fougeretz,56260,Vannes,5.07
35065,La Chapelle-Thouarault,35047,Bruz,10.1
35065,La Chapelle-Thouarault,35051,Cesson-Sévigné,15.07
35065,La Chapelle-Thouarault,35065,La Chapelle-Thouarault,179.86
35065,La Chapelle-Thouarault,35080,Cintré,15.07
35065,La Chapelle-Thouarault,35093,Dinard,5.05
35065,La Chapelle-Thouarault,35131,L'Hermitage,25.04
35065,La Chapelle-Thouarault,35188,Montfort-sur-Meu,5.05
35065,La Chapelle-Thouarault,35196,Mordelles,24.72
35065,La Chapelle-Thouarault,35238,Rennes,130.06
35065,La Chapelle-Thouarault,35240,Le Rheu,85.19
35065,La Chapelle-Thouarault,35278,Saint-Grégoire,10.1
35065,La Chapelle-Thouarault,35297,Saint-Méen-le-Grand,4.97
35065,La Chapelle-Thouarault,35337,Tinténiac,5.01
35065,La Chapelle-Thouarault,56178,Pontivy,5.01
35066,Chartres-de-Bretagne,14118,Caen,4.79
35066,Chartres-de-Bretagne,34088,Cournonterral,10.0
35066,Chartres-de-Bretagne,35047,Bruz,290.65
35066,Chartres-de-Bretagne,35051,Cesson-Sévigné,33.39
35066,Chartres-de-Bretagne,35055,Chantepie,4.79
35066,Chartres-de-Bretagne,35066,Chartres-de-Bretagne,1062.78
35066,Chartres-de-Bretagne,35115,Fougères,4.77
35066,Chartres-de-Bretagne,35206,Noyal-Châtillon-sur-Seiche,9.54
35066,Chartres-de-Bretagne,35208,Orgères,4.75
35066,Chartres-de-Bretagne,35236,Redon,4.79
35066,Chartres-de-Bretagne,35238,Rennes,347.42
35066,Chartres-de-Bretagne,35278,Saint-Grégoire,4.79
35066,Chartres-de-Bretagne,35281,Saint-Jacques-de-la-Lande,4.75
35066,Chartres-de-Bretagne,35337,Tinténiac,4.77
35066,Chartres-de-Bretagne,37072,Chinon,4.79
35066,Chartres-de-Bretagne,40192,Mont-de-Marsan,10.0
35066,Chartres-de-Bretagne,44109,Nantes,14.38
35066,Chartres-de-Bretagne,44172,Sainte-Luce-sur-Loire,4.79
35066,Chartres-de-Bretagne,53201,Saint-Berthevin,4.79
35066,Chartres-de-Bretagne,56007,Auray,4.75
35066,Chartres-de-Bretagne,56121,Lorient,4.75
35066,Chartres-de-Bretagne,64250,Guiche,4.75
35066,Chartres-de-Bretagne,72181,Le Mans,4.82
35076,Chavagne,22032,Caulnes,4.61
35076,Chavagne,22147,Merdrignac,4.61
35076,Chavagne,35004,Val-Couesnon,4.67
35076,Chavagne,35037,Bréal-sous-Montfort,9.22
35076,Chavagne,35047,Bruz,131.7
35076,Chavagne,35051,Cesson-Sévigné,25.6
35076,Chavagne,35055,Chantepie,9.44
35076,Chavagne,35066,Chartres-de-Bretagne,16.04
35076,Chavagne,35076,Chavagne,373.14
35076,Chavagne,35093,Dinard,9.39
35076,Chavagne,35115,Fougères,4.67
35076,Chavagne,35126,Guichen,4.56
35076,Chavagne,35177,La Mézière,9.44
35076,Chavagne,35196,Mordelles,137.44
35076,Chavagne,35201,Muel,6.71
35076,Chavagne,35238,Rennes,238.94
35076,Chavagne,35240,Le Rheu,39.21
