annee_universitaire,niveau_geographique,geo_nom,regroupement,rgp_formations_ou_etablissements,secteur,secteur_de_l_etablissement,sexe,sexe_de_l_etudiant,effectif,effectifhdccpge,a_des_effectifs_dut,effectif_dut,a_des_effectifs_ing,effectif_ing,a_des_effectifs_form_ens,effectif_form_ens,a_des_effectifs_apprentis_sts,effectif_apprentis_en_sts,effectif_atlas,niveau_geo,geo_id,reg_id,aca_id,dep_id,uucr_id,rentree,annee
2022-23,Commune,Rennes,EC_autres,Autres écoles de spécialités diverses,PU,Établissements publics,2,Feminin,203,203,non,0,non,0,non,0,non,0,203,COMMUNE,35238,R53,A14,D035,UU35701,2022,2023
2022-23,Commune,Rennes,EC_ART,Écoles supérieures art et culture,PU,Établissements publics,1,Masculin,364,364,non,0,non,0,non,0,non,0,364,COMMUNE,35238,R53,A14,D035,UU35701,2022,2023
2022-23,Commune,Rennes,TOTAL,Total des formations d'enseignement supérieur,PR,Établissements privés,1,Masculin,5960,5960,non,0,non,0,non,0,oui,603,5960,COMMUNE,35238,R53,A14,D035,UU35701,2022,2023
2022-23,Commune,Montauban-de-Bretagne,TOTAL,Total des formations d'enseignement supérieur,PR,Établissements privés,1,Masculin,55,55,non,0,non,0,non,0,oui,55,55,COMMUNE,35184,R53,A14,D035,UU35207,2022,2023
2022-23,Commune,Grenoble,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,2,Feminin,735,735,non,0,non,0,non,0,oui,60,735,COMMUNE,38185,R84,A08,D038,UU38701,2022,2023
2022-23,Commune,Rennes,EC_COM,"Écoles de commerce, gestion et comptabilité",PR,Établissements privés,2,Feminin,3414,3414,non,0,non,0,non,0,non,0,3414,COMMUNE,35238,R53,A14,D035,UU35701,2022,2023
2022-23,Commune,Grenoble,EC_COM,"Écoles de commerce, gestion et comptabilité",PR,Établissements privés,2,Feminin,2582,2582,non,0,non,0,non,0,non,0,2582,COMMUNE,38185,R84,A08,D038,UU38701,2022,2023
2022-23,Commune,Gières,EC_COM,"Écoles de commerce, gestion et comptabilité",PR,Établissements privés,1,Masculin,187,187,non,0,non,0,non,0,non,0,187,COMMUNE,38179,R84,A08,D038,UU38701,2022,2023
2022-23,Commune,Fougères,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,2,Feminin,37,37,non,0,non,0,non,0,oui,13,37,COMMUNE,35115,R53,A14,D035,UU35401,2022,2023
2001-02,Commune,Vienne,TOTAL,Total des formations d'enseignement supérieur,PU,Établissements publics,2,Feminin,410,0,oui,88,non,0,non,0,non,0,410,COMMUNE,38544,R84,A08,D038,UU00559,2001,2002
