"Géographie";"Niveau Géo";"Âge";"Sexe";"Diplôme";"Indicateur du lieu d’étude";"Mesure du recensement ";"Fréquence";"Statut de l'observation";Période;Valeur
"Saint-Georges-de-Commiers";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;1602,42949
"Saint-Égrève";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;1209,77078
"Herbeys";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;77,44538
"Le Gua";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;344,25857
"Séchilienne";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;77
"Séchilienne";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;149
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Total";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;2585,93412
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;612,09799
"Noyarey";"Commune";"15 ans ou plus";"Homme";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;295,21487
"Montchaboud";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;21,61947
"Montchaboud";"Commune";"15 ans ou plus";"Total";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;124,56932
"Saint-Georges-de-Commiers";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;152,51154
"Échirolles";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;13566,90086
"Domène";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;2633,64863
"Eybens";"Commune";"15 ans ou plus";"Femme";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;1588,04386
"Grenoble";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;53984,2958
"Herbeys";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;89,79241
"Séchilienne";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;360
"Sarcenas";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;24,36224
"Proveysieux";"Commune";"15 ans ou plus";"Total";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;47,62279
"Noyarey";"Commune";"15 ans ou plus";"Total";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;601,40684
"Noyarey";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;1686,67538
"Seyssins";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;592
"Montchaboud";"Commune";"15 ans ou plus";"Femme";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;59,71091
"Saint-Barthélemy-de-Séchilienne";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;61
"Corenc";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;124,43478
"Gières";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;2129,67252
"Herbeys";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;502,55699
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;1442,41207
"Sarcenas";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;66,26531
"Fontaine";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;1717,67263
"Poisat";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;174,08734
"Seyssinet-Pariset";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;902,46702
"Le Sappey-en-Chartreuse";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;37,55335
"Le Sappey-en-Chartreuse";"Commune";"15 ans ou plus";"Homme";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;241,70064
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;2177,64974
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;3573,38576
"Sassenage";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;4052,23767
"Séchilienne";"Commune";"15 ans ou plus";"Total";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;190
"Saint-Égrève";"Commune";"15 ans ou plus";"Femme";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;2603,66786
"Seyssins";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;2572
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Total";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;1421,75142
"Saint-Égrève";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;1470,24839
"La Tronche";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;428,96414
"Seyssinet-Pariset";"Commune";"15 ans ou plus";"Homme";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;1487,34606
"Sarcenas";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;79,90816
"Saint-Georges-de-Commiers";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;174,33762
"Venon";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;35
"Saint-Égrève";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;11466,40181
"Le Sappey-en-Chartreuse";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;371,71546
"Séchilienne";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;744
