CodGeo;Note;nbLsPls;nbLsMes;txVac;txVac3m;txRot;txLsCol;txLsInd;txLs1p;txLs2p;txLs3p;txLs4p;txLs5pp;txLsm30;txLs30a40;txLs40a60;txLs60a80;txLs80a100;txLs100a120;txLs120p;txLsAv49;txLs49a75;txLs76a88;txLs89a00;txLs01a13;txLsAp13;txLsPlai;txLsPlusAv77;txLsPlusAp77;txLsPls;txLsPli;moyLoy;q1Loy;medLoy;q3Loy
68375;0;877;0;2,1;0;8,7;71,1;28,9;5,4;16,2;39,5;25,9;13,1;1,3;3,5;20,4;50,3;20;4,6;0;2,1;65,1;6,3;1,3;17,9;7,2;8,3;42,5;44,8;0;4,4;6,27;5,51;6,52;7,09
68376;0;1231;0;1,8;0,9;7,3;86,3;13,7;3,2;14,8;40,4;30,9;10,6;2,6;0;17,1;45,2;27,9;6;1,2;5,3;43,7;6,3;14,1;17,2;13,4;8,6;37,4;49,6;3,4;1;6,21;5,7;6,27;6,96
69006;0;368;0;4,2;4;11,8;82,5;17,5;2,9;17,2;44,2;27,6;8;0;2,9;19;42,9;32,2;2,9;0;5,6;23;39,5;6,5;16,5;8,8;3,4;47,3;49,3;0;0;5,72;5,33;5,67;6,37
69010;0;725;0;2,8;1,7;8,9;100;0;7;19,7;36,7;30,2;6,3;1,5;4,4;23,3;38,4;28;4,4;0;1,9;20,9;33,1;2,7;16,8;24,6;6,1;44,9;37,6;11,4;0;6,32;4,89;6,14;6,93
69019;0;1525;0;2,2;1;9,1;96,5;3,5;1,7;23,8;43;25,8;5,6;0;2,2;32,7;44,4;17,9;2,7;0;0,8;46,4;18,9;5;8,3;20,4;4,1;57;30;8,9;0;6,19;5,22;5,8;6,74
69027;0;1086;43;2,3;1,1;4,8;98,1;1,9;1,9;25;37,3;28,3;7,6;0;2,6;26,8;50,4;18,1;2,2;0;0;25,7;24,7;6,1;5,3;38,2;10,7;48,2;28,8;9,1;3,2;7,03;6,27;6,69;7,56
69029;0;4502;34;0,8;0,3;5;99,1;0,9;9,3;23,4;33,7;25,5;8,1;7,2;2,4;43,2;33;11,9;2,3;0;0,8;66,3;10,8;3,7;7,2;11,2;1,6;64,9;19,7;7,1;6,8;7,15;6,11;6,89;7,64
69034;0;3847;52;1,2;0,8;7,7;99,2;0,8;7;23,2;34,1;27,2;8,6;3,3;8,7;28;36,6;19,4;3,7;0,3;3,7;49,1;9,2;14,1;10,9;12,9;7,9;43,3;32;12,5;4,3;7,3;6,11;6,95;8,31
69040;0;711;41;2,9;3,1;7,1;94,6;5,4;22;28,7;25,9;17,8;5,5;7,9;12,8;28,6;30,9;16,4;3,4;0;0;20;6,5;16,1;26,9;30,5;10,7;18,7;52,9;12,1;5,6;7,47;6,7;7,23;7,98
69043;0;592;32;3,3;2,4;13,2;97,8;2,2;2;30;38,6;23,1;6,3;0;3,3;32,2;47,7;16,7;0;0;2,2;5,7;13,2;12,7;21,7;44,5;14,9;7,9;61,8;15,4;0;7,55;6,86;7,53;7,98
69069;0;849;0;1,6;1,5;8,2;98,5;1,5;3;28,7;42,6;20,7;5;0;2,5;29;50,7;17,8;0;0;1,6;7;10,1;18,4;33,1;29,8;12,2;16,7;51,2;16,6;3,3;7,41;6,49;7,24;7,86
69072;0;646;33;2,4;0;6,8;87;13;5,3;19,5;34,2;29,7;11,3;0;7,1;19;40,7;29,6;3,6;0;0;6,9;35,3;18,3;14,4;25;7,9;16,1;57,7;16,1;2,2;7,35;6,56;7,12;7,81
69081;0;2732;0;5,7;2,9;10,1;97,8;2,2;31,2;11,2;24,8;21,6;11,2;28,8;1,2;19,9;24,5;20,7;4,1;0,7;3,1;52,2;2,9;27,7;2,9;11,2;2,3;49,3;11,3;18,2;18,9;6,42;4,95;5,89;7,53
