code_residence,commune_residence,dep_residence,code_travail,commune_travail,dep_travail,flux,annee
05061,Gap,05,76575,Saint-Étienne-du-Rouvray,76,2.32359098334848,2019
05063,La Grave,05,38185,Grenoble,38,5.01796725303984,2019
05063,La Grave,05,38421,Saint-Martin-d'Hères,38,5.01796725303989,2019
05063,La Grave,05,38545,Vif,38,5.01796725303974,2019
05070,Laragne-Montéglin,05,38185,Grenoble,38,5.01910639783172,2019
05080,Montbrand,05,38169,Fontaine,38,4.53125,2019
05132,Saint-Bonnet-en-Champsaur,05,38562,Vizille,38,4.96362754607178,2019
05145,Saint-Jean-Saint-Nicolas,05,38185,Grenoble,38,5.05103465029422,2019
05164,Savines-le-Lac,05,38185,Grenoble,38,5.06740111484306,2019
05179,Veynes,05,38421,Saint-Martin-d'Hères,38,5.0,2019
05181,Villar-d'Arêne,05,38185,Grenoble,38,4.74383493066197,2019
06003,Andon,06,34057,Castelnau-le-Lez,34,9.77047549458038,2019
06004,Antibes,06,42316,Unieux,42,3.07712624486049,2019
06027,Cagnes-sur-Mer,06,34172,Montpellier,34,3.24269963482401,2019
06027,Cagnes-sur-Mer,06,38185,Grenoble,38,2.6419711944856,2019
06029,Cannes,06,34172,Montpellier,34,5.16345829412634,2019
06029,Cannes,06,38150,Domène,38,2.84962618667616,2019
06029,Cannes,06,38185,Grenoble,38,2.90123855382266,2019
06029,Cannes,06,42275,Saint-Priest-en-Jarez,42,2.95614279615932,2019
06030,Le Cannet,06,34337,Villeneuve-lès-Maguelone,34,0.910698713092589,2019
06033,Carros,06,34022,Baillargues,34,1.18712123049055,2019
06044,La Colle-sur-Loup,06,38158,Eybens,38,5.24366516368368,2019
06065,La Gaude,06,34172,Montpellier,34,5.0,2019
06069,Grasse,06,34172,Montpellier,34,8.36419725007185,2019
06069,Grasse,06,38524,Varces-Allières-et-Risset,38,2.52270168649368,2019
06079,Mandelieu-la-Napoule,06,34172,Montpellier,34,0.986179651954485,2019
06079,Mandelieu-la-Napoule,06,35238,Rennes,35,0.998596779306465,2019
06079,Mandelieu-la-Napoule,06,38185,Grenoble,38,4.31352281866067,2019
06083,Menton,06,38421,Saint-Martin-d'Hères,38,3.88701658424183,2019
06088,Nice,06,34057,Castelnau-le-Lez,34,3.39523913349364,2019
06088,Nice,06,34172,Montpellier,34,24.7003165209127,2019
06088,Nice,06,38185,Grenoble,38,3.69719045760247,2019
06088,Nice,06,38317,Le Pont-de-Claix,38,2.86074123503346,2019
06088,Nice,06,42218,Saint-Étienne,42,5.91315073642846,2019
06123,Saint-Laurent-du-Var,06,38185,Grenoble,38,0.963017502030289,2019
06127,Saint-Martin-Vésubie,06,76540,Rouen,76,5.0,2019
