Code_commune_arrivee,Commune_arrivee,Code_commune_depart,Commune_depart,Flux_migrants_1an_ou_plus
35047,Bruz,78123,Carrières-sous-Poissy,3.55
35047,Bruz,78158,Le Chesnay-Rocquencourt,7.26
35047,Bruz,78575,Saint-Rémy-lès-Chevreuse,5.62
35047,Bruz,78674,Villepreux,1.39
35047,Bruz,79049,Bressuire,3.16
35047,Bruz,80310,Fienvillers,1.39
35047,Bruz,83036,Cavalaire-sur-Mer,2.8
35047,Bruz,83129,Six-Fours-les-Plages,1.48
35047,Bruz,85191,La Roche-sur-Yon,3.6
35047,Bruz,86194,Poitiers,9.24
35047,Bruz,91105,Breuillet,3.61
35047,Bruz,91179,Le Coudray-Montceaux,6.42
35047,Bruz,91223,Étampes,18.02
35047,Bruz,91272,Gif-sur-Yvette,7.31
35047,Bruz,91377,Massy,25.68
35047,Bruz,91421,Montgeron,1.39
35047,Bruz,91549,Sainte-Geneviève-des-Bois,7.26
35047,Bruz,92002,Antony,6.38
35047,Bruz,92004,Asnières-sur-Seine,3.66
35047,Bruz,92012,Boulogne-Billancourt,1.57
35047,Bruz,92023,Clamart,7.8
35047,Bruz,92032,Fontenay-aux-Roses,1.48
35047,Bruz,92063,Rueil-Malmaison,7.76
35047,Bruz,92075,Vanves,1.39
35047,Bruz,92077,Ville-d'Avray,3.83
35047,Bruz,95582,Sannois,1.23
35047,Bruz,97410,Saint-Benoît,1.57
35047,Bruz,97415,Saint-Paul,6.47
35047,Bruz,97611,Mamoudzou,1.48
35047,Bruz,98735,Papeete,4.88
35047,Bruz,98818,Nouméa,2.96
35047,Bruz,99999,Résidence antérieure dans un pays étranger,105.9
35051,Cesson-Sévigné,04157,Puimoisson,4.2
35051,Cesson-Sévigné,07281,Saint-Péray,1.66
35051,Cesson-Sévigné,13213,Marseille 13e Arrondissement,1.66
35051,Cesson-Sévigné,14118,Caen,9.39
35051,Cesson-Sévigné,14762,Vire Normandie,4.07
35051,Cesson-Sévigné,17414,Saint-Xandre,6.37
35051,Cesson-Sévigné,21231,Dijon,1.36
35051,Cesson-Sévigné,22050,Dinan,3.92
35051,Cesson-Sévigné,22055,Binic-Étables-sur-Mer,1.02
35051,Cesson-Sévigné,22056,Évran,10.09
35051,Cesson-Sévigné,22070,Guingamp,4.42
35051,Cesson-Sévigné,22093,Lamballe-Armor,1.66
35051,Cesson-Sévigné,22107,Bon Repos sur Blavet,1.47
35051,Cesson-Sévigné,22113,Lannion,1.02
35051,Cesson-Sévigné,22147,Merdrignac,4.42
35051,Cesson-Sévigné,22171,Plaintel,8.84
35051,Cesson-Sévigné,22172,Plancoët,4.57
35051,Cesson-Sévigné,22199,Pleumeur-Gautier,3.31
35051,Cesson-Sévigné,22207,Plouaret,6.37
35051,Cesson-Sévigné,22211,Ploubezre,4.42
35051,Cesson-Sévigné,22215,Ploufragan,1.47
35051,Cesson-Sévigné,22222,Plouha,1.51
35051,Cesson-Sévigné,22240,Plumaugat,6.37
35051,Cesson-Sévigné,22256,Quemper-Guézennec,1.11
35051,Cesson-Sévigné,22278,Saint-Brieuc,8.72
35051,Cesson-Sévigné,22389,Yffiniac,7.17
35051,Cesson-Sévigné,27229,Évreux,1.66
35051,Cesson-Sévigné,27397,Ménilles,1.11
35051,Cesson-Sévigné,27467,Pont-Audemer,1.32
35051,Cesson-Sévigné,28332,Sainte-Gemme-Moronval,1.66
35051,Cesson-Sévigné,28372,Senantes,1.36
35051,Cesson-Sévigné,29019,Brest,24.32
35051,Cesson-Sévigné,29051,Ergué-Gabéric,1.66
35051,Cesson-Sévigné,29075,Guipavas,4.2
35051,Cesson-Sévigné,29119,Lanrivoaré,6.37
35051,Cesson-Sévigné,29175,Plonévez-du-Faou,3.36
35051,Cesson-Sévigné,29209,Plouvien,4.07
35051,Cesson-Sévigné,29232,Quimper,5.31
35051,Cesson-Sévigné,29243,Saint-Coulitz,1.66
35051,Cesson-Sévigné,31555,Toulouse,6.08
35051,Cesson-Sévigné,33009,Arcachon,1.36
35051,Cesson-Sévigné,33063,Bordeaux,6.66
35051,Cesson-Sévigné,33318,Pessac,1.66
35051,Cesson-Sévigné,34270,Saint-Jean-de-Védas,1.66
35051,Cesson-Sévigné,35001,Acigné,4.22
35051,Cesson-Sévigné,35012,Bain-de-Bretagne,6.37
35051,Cesson-Sévigné,35016,Baulon,1.16
35051,Cesson-Sévigné,35023,Bédée,3.54
35051,Cesson-Sévigné,35024,Betton,2.89
35051,Cesson-Sévigné,35037,Bréal-sous-Montfort,1.66
35051,Cesson-Sévigné,35039,Brécé,3.26
35051,Cesson-Sévigné,35047,Bruz,23.66
35051,Cesson-Sévigné,35049,Cancale,12.5
35051,Cesson-Sévigné,35051,Cesson-Sévigné,16156.35
35051,Cesson-Sévigné,35055,Chantepie,40.4
35051,Cesson-Sévigné,35068,Châteaubourg,10.0
35051,Cesson-Sévigné,35069,Châteaugiron,12.55
35051,Cesson-Sévigné,35076,Chavagne,4.42
35051,Cesson-Sévigné,35085,Combourg,2.21
35051,Cesson-Sévigné,35090,Crevin,4.22
35051,Cesson-Sévigné,35093,Dinard,11.28
35051,Cesson-Sévigné,35099,Domloup,4.42
35051,Cesson-Sévigné,35109,Étrelles,3.88
35051,Cesson-Sévigné,35110,Feins,1.07
35051,Cesson-Sévigné,35115,Fougères,12.48
