code_origine,commune_origine,dep_origine,code_destination,commune_destination,dep_destination,flux,annee
30125,Garons,30,34057,Castelnau-le-Lez,34,6.23,2019
30133,Le Grau-du-Roi,30,34057,Castelnau-le-Lez,34,4.33,2019
30136,Junas,30,34057,Castelnau-le-Lez,34,5.59,2019
30141,Laudun-l'Ardoise,30,34057,Castelnau-le-Lez,34,4.73,2019
30189,Nîmes,30,34057,Castelnau-le-Lez,34,16.89,2019
30221,Roquemaure,30,34057,Castelnau-le-Lez,34,0.88,2019
30229,Saint-André-de-Majencoules,30,34057,Castelnau-le-Lez,34,0.88,2019
30243,Saint-Christol-lez-Alès,30,34057,Castelnau-le-Lez,34,1.25,2019
30258,Saint-Gilles,30,34057,Castelnau-le-Lez,34,1.79,2019
30269,Saint-Jean-du-Gard,30,34057,Castelnau-le-Lez,34,22.11,2019
30278,Saint-Laurent-des-Arbres,30,34057,Castelnau-le-Lez,34,0.91,2019
30295,Saint-Quentin-la-Poterie,30,34057,Castelnau-le-Lez,34,2.5,2019
30311,Sauve,30,34057,Castelnau-le-Lez,34,2.73,2019
30321,Sommières,30,34057,Castelnau-le-Lez,34,2.74,2019
30341,Vauvert,30,34057,Castelnau-le-Lez,34,2.19,2019
30342,Vénéjan,30,34057,Castelnau-le-Lez,34,1.64,2019
30356,Rodilhan,30,34057,Castelnau-le-Lez,34,4.33,2019
31044,Balma,31,34057,Castelnau-le-Lez,34,3.74,2019
31113,Castanet-Tolosan,31,34057,Castelnau-le-Lez,34,2.5,2019
31555,Toulouse,31,34057,Castelnau-le-Lez,34,29.05,2019
32119,Eauze,32,34057,Castelnau-le-Lez,34,1.55,2019
33063,Bordeaux,33,34057,Castelnau-le-Lez,34,1.25,2019
34003,Agde,34,34057,Castelnau-le-Lez,34,2.5,2019
34013,Aspiran,34,34057,Castelnau-le-Lez,34,1.25,2019
34014,Assas,34,34057,Castelnau-le-Lez,34,1.1,2019
34020,Azillanet,34,34057,Castelnau-le-Lez,34,3.29,2019
34022,Baillargues,34,34057,Castelnau-le-Lez,34,9.22,2019
34027,Beaulieu,34,34057,Castelnau-le-Lez,34,1.1,2019
34028,Bédarieux,34,34057,Castelnau-le-Lez,34,4.28,2019
34032,Béziers,34,34057,Castelnau-le-Lez,34,4.32,2019
34033,Boisseron,34,34057,Castelnau-le-Lez,34,6.18,2019
34050,Candillargues,34,34057,Castelnau-le-Lez,34,1.76,2019
34057,Castelnau-le-Lez,34,34057,Castelnau-le-Lez,34,19648.19,2019
34058,Castries,34,34057,Castelnau-le-Lez,34,15.21,2019
34063,Caux,34,34057,Castelnau-le-Lez,34,1.1,2019
34067,Cazilhac,34,34057,Castelnau-le-Lez,34,4.99,2019
34069,Cazouls-lès-Béziers,34,34057,Castelnau-le-Lez,34,4.38,2019
34076,Ceyras,34,34057,Castelnau-le-Lez,34,2.34,2019
34077,Clapiers,34,34057,Castelnau-le-Lez,34,43.59,2019
34078,Claret,34,34057,Castelnau-le-Lez,34,1.1,2019
34079,Clermont-l'Hérault,34,34057,Castelnau-le-Lez,34,1.1,2019
34082,Combaillaux,34,34057,Castelnau-le-Lez,34,2.5,2019
34090,Le Crès,34,34057,Castelnau-le-Lez,34,73.57,2019
34091,Le Cros,34,34057,Castelnau-le-Lez,34,0.88,2019
34095,Fabrègues,34,34057,Castelnau-le-Lez,34,6.57,2019
34101,Florensac,34,34057,Castelnau-le-Lez,34,1.64,2019
34102,Fontanès,34,34057,Castelnau-le-Lez,34,2.06,2019
34108,Frontignan,34,34057,Castelnau-le-Lez,34,1.97,2019
34111,Ganges,34,34057,Castelnau-le-Lez,34,4.31,2019
34114,Gignac,34,34057,Castelnau-le-Lez,34,3.29,2019
34116,Grabels,34,34057,Castelnau-le-Lez,34,30.13,2019
34120,Jacou,34,34057,Castelnau-le-Lez,34,37.61,2019
34123,Juvignac,34,34057,Castelnau-le-Lez,34,38.46,2019
34127,Lansargues,34,34057,Castelnau-le-Lez,34,4.11,2019
34129,Lattes,34,34057,Castelnau-le-Lez,34,34.4,2019
34134,Lavérune,34,34057,Castelnau-le-Lez,34,2.5,2019
34142,Lodève,34,34057,Castelnau-le-Lez,34,3.1,2019
34143,Loupian,34,34057,Castelnau-le-Lez,34,1.25,2019
34145,Lunel,34,34057,Castelnau-le-Lez,34,63.78,2019
34150,Marseillan,34,34057,Castelnau-le-Lez,34,1.25,2019
34151,Marsillargues,34,34057,Castelnau-le-Lez,34,12.95,2019
34154,Mauguio,34,34057,Castelnau-le-Lez,34,23.48,2019
34157,Mèze,34,34057,Castelnau-le-Lez,34,3.29,2019
34163,Montarnaud,34,34057,Castelnau-le-Lez,34,13.62,2019
34166,Montblanc,34,34057,Castelnau-le-Lez,34,4.93,2019
34169,Montferrier-sur-Lez,34,34057,Castelnau-le-Lez,34,10.64,2019
34172,Montpellier,34,34057,Castelnau-le-Lez,34,1007.88,2019
34183,Nissan-lez-Enserune,34,34057,Castelnau-le-Lez,34,1.25,2019
34192,Palavas-les-Flots,34,34057,Castelnau-le-Lez,34,8.35,2019
34198,Pérols,34,34057,Castelnau-le-Lez,34,23.5,2019
34199,Pézenas,34,34057,Castelnau-le-Lez,34,1.25,2019
34217,Prades-le-Lez,34,34057,Castelnau-le-Lez,34,2.13,2019
34227,Restinclières,34,34057,Castelnau-le-Lez,34,5.41,2019
34229,Riols,34,34057,Castelnau-le-Lez,34,1.25,2019
34239,Saint-André-de-Sangonis,34,34057,Castelnau-le-Lez,34,1.25,2019
34240,Saint-Aunès,34,34057,Castelnau-le-Lez,34,20.06,2019
34244,Saint-Brès,34,34057,Castelnau-le-Lez,34,0.91,2019
34247,Saint-Clément-de-Rivière,34,34057,Castelnau-le-Lez,34,4.51,2019
34249,Saint-Drézéry,34,34057,Castelnau-le-Lez,34,25.33,2019
34255,Saint-Gély-du-Fesc,34,34057,Castelnau-le-Lez,34,5.79,2019
34256,Saint-Geniès-des-Mourgues,34,34057,Castelnau-le-Lez,34,4.0,2019
34259,Saint-Georges-d'Orques,34,34057,Castelnau-le-Lez,34,6.92,2019
34272,Saint-Just,34,34057,Castelnau-le-Lez,34,1.82,2019
34274,Saint-Martin-de-Londres,34,34057,Castelnau-le-Lez,34,1.12,2019
34276,Saint-Mathieu-de-Tréviers,34,34057,Castelnau-le-Lez,34,2.19,2019
34280,Saint-Nazaire-de-Pézan,34,34057,Castelnau-le-Lez,34,0.91,2019
34301,Sète,34,34057,Castelnau-le-Lez,34,10.19,2019
34307,Sussargues,34,34057,Castelnau-le-Lez,34,51.29,2019
34309,Teyran,34,34057,Castelnau-le-Lez,34,4.61,2019
34310,Thézan-lès-Béziers,34,34057,Castelnau-le-Lez,34,1.1,2019
34320,Vailhauquès,34,34057,Castelnau-le-Lez,34,0.88,2019
34321,Valergues,34,34057,Castelnau-le-Lez,34,4.21,2019
34327,Vendargues,34,34057,Castelnau-le-Lez,34,22.98,2019
34332,Vias,34,34057,Castelnau-le-Lez,34,1.1,2019
34333,Vic-la-Gardiole,34,34057,Castelnau-le-Lez,34,2.19,2019
34337,Villeneuve-lès-Maguelone,34,34057,Castelnau-le-Lez,34,12.91,2019
34344,La Grande-Motte,34,34057,Castelnau-le-Lez,34,30.38,2019
35238,Rennes,35,34057,Castelnau-le-Lez,34,2.06,2019
35288,Saint-Malo,35,34057,Castelnau-le-Lez,34,0.88,2019
37172,Notre-Dame-d'Oé,37,34057,Castelnau-le-Lez,34,1.16,2019
37261,Tours,37,34057,Castelnau-le-Lez,34,1.1,2019
38169,Fontaine,38,34057,Castelnau-le-Lez,34,1.1,2019
38185,Grenoble,38,34057,Castelnau-le-Lez,34,0.88,2019
38382,Saint-Égrève,38,34057,Castelnau-le-Lez,34,3.31,2019
38485,Seyssinet-Pariset,38,34057,Castelnau-le-Lez,34,1.0,2019
42187,Roanne,42,34057,Castelnau-le-Lez,34,4.93,2019
42189,Roche-la-Molière,42,34057,Castelnau-le-Lez,34,1.82,2019
42218,Saint-Étienne,42,34057,Castelnau-le-Lez,34,0.88,2019
43157,Le Puy-en-Velay,43,34057,Castelnau-le-Lez,34,1.1,2019
44107,Mouzeil,44,34057,Castelnau-le-Lez,34,1.82,2019
45010,Ascoux,45,34057,Castelnau-le-Lez,34,0.91,2019
45234,Orléans,45,34057,Castelnau-le-Lez,34,6.26,2019
46015,Bagnac-sur-Célé,46,34057,Castelnau-le-Lez,34,0.88,2019
47094,Fauguerolles,47,34057,Castelnau-le-Lez,34,3.74,2019
51372,Moncetz-Longevas,51,34057,Castelnau-le-Lez,34,1.26,2019
52121,Chaumont,52,34057,Castelnau-le-Lez,34,1.76,2019
54028,Auboué,54,34057,Castelnau-le-Lez,34,1.25,2019
54395,Nancy,54,34057,Castelnau-le-Lez,34,0.91,2019
59122,Cambrai,59,34057,Castelnau-le-Lez,34,1.64,2019
59350,Lille,59,34057,Castelnau-le-Lez,34,5.35,2019
59606,Valenciennes,59,34057,Castelnau-le-Lez,34,1.25,2019
60317,Hondainville,60,34057,Castelnau-le-Lez,34,2.5,2019
63032,Beaumont,63,34057,Castelnau-le-Lez,34,1.25,2019
63075,Chamalières,63,34057,Castelnau-le-Lez,34,8.51,2019
63113,Clermont-Ferrand,63,34057,Castelnau-le-Lez,34,12.98,2019
63302,La Roche-Blanche,63,34057,Castelnau-le-Lez,34,2.5,2019
64129,Billère,64,34057,Castelnau-le-Lez,34,1.82,2019
65059,Bagnères-de-Bigorre,65,34057,Castelnau-le-Lez,34,5.21,2019
66004,Les Angles,66,34057,Castelnau-le-Lez,34,5.53,2019
66038,Canohès,66,34057,Castelnau-le-Lez,34,27.72,2019
66050,Claira,66,34057,Castelnau-le-Lez,34,2.19,2019
66136,Perpignan,66,34057,Castelnau-le-Lez,34,36.72,2019
66148,Port-Vendres,66,34057,Castelnau-le-Lez,34,1.28,2019
66175,Saint-Génis-des-Fontaines,66,34057,Castelnau-le-Lez,34,2.5,2019
66210,Thuir,66,34057,Castelnau-le-Lez,34,1.1,2019
67089,Dettwiller,67,34057,Castelnau-le-Lez,34,0.91,2019
67205,Hœrdt,67,34057,Castelnau-le-Lez,34,1.1,2019
67222,Ingwiller,67,34057,Castelnau-le-Lez,34,2.5,2019
67482,Strasbourg,67,34057,Castelnau-le-Lez,34,4.38,2019
68066,Colmar,68,34057,Castelnau-le-Lez,34,0.88,2019
68297,Saint-Louis,68,34057,Castelnau-le-Lez,34,1.1,2019
69034,Caluire-et-Cuire,69,34057,Castelnau-le-Lez,34,0.88,2019
69149,Oullins,69,34057,Castelnau-le-Lez,34,1.26,2019
69244,Tassin-la-Demi-Lune,69,34057,Castelnau-le-Lez,34,1.76,2019
69266,Villeurbanne,69,34057,Castelnau-le-Lez,34,1.26,2019
69382,Lyon 2e Arrondissement,69,34057,Castelnau-le-Lez,34,1.1,2019
69383,Lyon 3e Arrondissement,69,34057,Castelnau-le-Lez,34,1.1,2019
69386,Lyon 6e Arrondissement,69,34057,Castelnau-le-Lez,34,7.79,2019
69387,Lyon 7e Arrondissement,69,34057,Castelnau-le-Lez,34,0.88,2019
69389,Lyon 9e Arrondissement,69,34057,Castelnau-le-Lez,34,3.4,2019
71079,Champagnat,71,34057,Castelnau-le-Lez,34,1.82,2019
71182,Dracy-le-Fort,71,34057,Castelnau-le-Lez,34,2.5,2019
73179,La Motte-Servolex,73,34057,Castelnau-le-Lez,34,1.1,2019
73296,Tignes,73,34057,Castelnau-le-Lez,34,5.0,2019
74256,Sallanches,74,34057,Castelnau-le-Lez,34,2.19,2019
75105,Paris 5e Arrondissement,75,34057,Castelnau-le-Lez,34,2.9,2019
75110,Paris 10e Arrondissement,75,34057,Castelnau-le-Lez,34,3.29,2019
75112,Paris 12e Arrondissement,75,34057,Castelnau-le-Lez,34,11.91,2019
75114,Paris 14e Arrondissement,75,34057,Castelnau-le-Lez,34,26.78,2019
75120,Paris 20e Arrondissement,75,34057,Castelnau-le-Lez,34,2.19,2019
76540,Rouen,76,34057,Castelnau-le-Lez,34,1.1,2019
77083,Champs-sur-Marne,77,34057,Castelnau-le-Lez,34,3.29,2019
77108,Chelles,77,34057,Castelnau-le-Lez,34,20.84,2019
77122,Combs-la-Ville,77,34057,Castelnau-le-Lez,34,4.99,2019
77243,Lagny-sur-Marne,77,34057,Castelnau-le-Lez,34,2.19,2019
77284,Meaux,77,34057,Castelnau-le-Lez,34,15.92,2019
77479,Vaires-sur-Marne,77,34057,Castelnau-le-Lez,34,1.1,2019
78073,Bois-d'Arcy,78,34057,Castelnau-le-Lez,34,2.5,2019
78117,Buc,78,34057,Castelnau-le-Lez,34,4.99,2019
78361,Mantes-la-Jolie,78,34057,Castelnau-le-Lez,34,2.5,2019
78397,Le Mesnil-Saint-Denis,78,34057,Castelnau-le-Lez,34,1.28,2019
78571,Saint-Nom-la-Bretèche,78,34057,Castelnau-le-Lez,34,27.34,2019
78621,Trappes,78,34057,Castelnau-le-Lez,34,1.76,2019
81284,Le Sequestre,81,34057,Castelnau-le-Lez,34,2.19,2019
82069,Ginals,82,34057,Castelnau-le-Lez,34,11.6,2019
82092,Lapenche,82,34057,Castelnau-le-Lez,34,2.5,2019
82121,Montauban,82,34057,Castelnau-le-Lez,34,2.19,2019
83050,Draguignan,83,34057,Castelnau-le-Lez,34,14.93,2019
83062,La Garde,83,34057,Castelnau-le-Lez,34,0.88,2019
83115,Sainte-Maxime,83,34057,Castelnau-le-Lez,34,1.25,2019
84007,Avignon,84,34057,Castelnau-le-Lez,34,1.79,2019
84009,La Bastide-des-Jourdans,84,34057,Castelnau-le-Lez,34,1.0,2019
84072,Mazan,84,34057,Castelnau-le-Lez,34,1.64,2019
84080,Monteux,84,34057,Castelnau-le-Lez,34,2.19,2019
84087,Orange,84,34057,Castelnau-le-Lez,34,1.82,2019
84137,Vaison-la-Romaine,84,34057,Castelnau-le-Lez,34,1.1,2019
87085,Limoges,87,34057,Castelnau-le-Lez,34,3.1,2019
87114,Panazol,87,34057,Castelnau-le-Lez,34,3.41,2019
87119,Pierre-Buffière,87,34057,Castelnau-le-Lez,34,20.84,2019
88386,Remomeix,88,34057,Castelnau-le-Lez,34,1.76,2019
