code_origine,commune_origine,dep_origine,code_destination,commune_destination,dep_destination,flux,annee
06083,Menton,06,76429,Le Mesnil-Esnard,76,3.87,2019
06083,Menton,06,76540,Rouen,76,5.07,2019
06084,Mouans-Sartoux,06,34172,Montpellier,34,2.72,2019
06084,Mouans-Sartoux,06,38185,Grenoble,38,2.72,2019
06085,Mougins,06,35238,Rennes,35,3.6,2019
06085,Mougins,06,38185,Grenoble,38,9.61,2019
06085,Mougins,06,76451,Mont-Saint-Aignan,76,3.6,2019
06088,Nice,06,34022,Baillargues,34,4.95,2019
06088,Nice,06,34172,Montpellier,34,109.78,2019
06088,Nice,06,34198,Pérols,34,18.1,2019
06088,Nice,06,35238,Rennes,35,22.98,2019
06088,Nice,06,38185,Grenoble,38,37.99,2019
06088,Nice,06,42218,Saint-Étienne,42,6.27,2019
06088,Nice,06,76165,Caudebec-lès-Elbeuf,76,2.7,2019
06088,Nice,06,76540,Rouen,76,24.0,2019
06094,Péone,06,34172,Montpellier,34,4.8,2019
06095,Peymeinade,06,38185,Grenoble,38,4.99,2019
06108,La Roquette-sur-Siagne,06,34172,Montpellier,34,10.09,2019
06108,La Roquette-sur-Siagne,06,38185,Grenoble,38,4.95,2019
06123,Saint-Laurent-du-Var,06,34172,Montpellier,34,1.05,2019
06123,Saint-Laurent-du-Var,06,34198,Pérols,34,4.39,2019
06123,Saint-Laurent-du-Var,06,35238,Rennes,35,2.9,2019
06123,Saint-Laurent-du-Var,06,38185,Grenoble,38,2.77,2019
06123,Saint-Laurent-du-Var,06,38421,Saint-Martin-d'Hères,38,1.05,2019
06123,Saint-Laurent-du-Var,06,76540,Rouen,76,2.74,2019
06147,Tourrette-Levens,06,38185,Grenoble,38,5.04,2019
06148,Tourrettes-sur-Loup,06,38185,Grenoble,38,4.97,2019
06152,Valbonne,06,42207,Saint-Chamond,42,4.84,2019
06152,Valbonne,06,76451,Mont-Saint-Aignan,76,1.17,2019
06155,Vallauris,06,38185,Grenoble,38,2.79,2019
06155,Vallauris,06,76540,Rouen,76,7.74,2019
06157,Vence,06,34172,Montpellier,34,2.81,2019
06157,Vence,06,35238,Rennes,35,2.62,2019
06161,Villeneuve-Loubet,06,76540,Rouen,76,3.73,2019
06163,Tende,06,38185,Grenoble,38,5.28,2019
07009,Andance,07,34172,Montpellier,34,4.97,2019
07010,Annonay,07,34172,Montpellier,34,5.21,2019
07010,Annonay,07,38185,Grenoble,38,19.7,2019
07010,Annonay,07,42218,Saint-Étienne,42,59.09,2019
07013,Ardoix,07,42218,Saint-Étienne,42,5.02,2019
07019,Aubenas,07,34172,Montpellier,34,15.63,2019
07019,Aubenas,07,38151,Échirolles,38,1.08,2019
07019,Aubenas,07,38185,Grenoble,38,21.21,2019
07019,Aubenas,07,38421,Saint-Martin-d'Hères,38,3.2,2019
07019,Aubenas,07,38486,Seyssins,38,1.09,2019
07019,Aubenas,07,42218,Saint-Étienne,42,2.7,2019
07019,Aubenas,07,76451,Mont-Saint-Aignan,76,1.09,2019
07026,Le Béage,07,42218,Saint-Étienne,42,5.07,2019
07027,Beauchastel,07,38185,Grenoble,38,15.0,2019
07042,Bourg-Saint-Andéol,07,34172,Montpellier,34,15.16,2019
