metropole,code_commune,nom_commune,annee,indicateur_occupation,valeur
Grenoble,38382,Saint-Égrève,2022,MOD_OVER_OCC,278.9749
Montpellier,34058,Castries,2022,SEV_UNDER_OCC,588.24553
Saint-Etienne,42036,Chagnon,2022,STD_OCC,14.77358
Saint-Etienne,42036,Chagnon,2022,VSEV_UNDER_OCC,54.16981
Grenoble,38170,Fontanil-Cornillon,2022,MOD_OVER_OCC,31.0292
Rouen,76273,Fontaine-sous-Préaux,2022,MOD_UNDER_OCC,24.55462
Saint-Etienne,42242,Saint-Joseph,2022,SEV_UNDER_OCC,238.63746
Saint-Etienne,42242,Saint-Joseph,2022,MOD_OVER_OCC,15.41473
Rouen,76131,La Bouille,2022,SEV_UNDER_OCC,95.88876
Montpellier,34027,Beaulieu,2022,SEV_OVER_OCC,0.0
Montpellier,34134,Lavérune,2022,SEV_OVER_OCC,0.0
Rennes,35334,Thorigné-Fouillard,2022,STD_OCC,612.76173
Montpellier,34058,Castries,2022,MOD_UNDER_OCC,726.75918
Rennes,35081,Clayes,2022,STD_OCC,31.70127
Rouen,76131,La Bouille,2022,MOD_OVER_OCC,15.17548
Saint-Etienne,42308,La Terrasse-sur-Dorlay,2022,SEV_OVER_OCC,0.0
Saint-Etienne,42308,La Terrasse-sur-Dorlay,2022,VSEV_UNDER_OCC,61.06528
Rouen,76103,Bonsecours,2022,MOD_UNDER_OCC,836.8252
Rouen,76282,Freneuse,2022,STD_OCC,29.20186
Rouen,76282,Freneuse,2022,MOD_OVER_OCC,15.06261
Montpellier,34134,Lavérune,2022,VSEV_UNDER_OCC,341.98922
Rouen,76103,Bonsecours,2022,MOD_OVER_OCC,134.48976
Rouen,76273,Fontaine-sous-Préaux,2022,SEV_UNDER_OCC,83.9308
Saint-Etienne,42308,La Terrasse-sur-Dorlay,2022,SEV_UNDER_OCC,91.50754
Montpellier,34058,Castries,2022,VSEV_UNDER_OCC,895.30114
Rouen,76282,Freneuse,2022,SEV_UNDER_OCC,71.90604
Rennes,35081,Clayes,2022,MOD_UNDER_OCC,63.62108
Grenoble,38170,Fontanil-Cornillon,2022,MOD_UNDER_OCC,429.28302
Montpellier,34027,Beaulieu,2022,MOD_UNDER_OCC,234.3359
Montpellier,34134,Lavérune,2022,MOD_OVER_OCC,53.99626
Saint-Etienne,42036,Chagnon,2022,MOD_UNDER_OCC,49.24528
Saint-Etienne,42308,La Terrasse-sur-Dorlay,2022,MOD_UNDER_OCC,127.38468
Rennes,35334,Thorigné-Fouillard,2022,SEV_OVER_OCC,0.0
Rennes,35081,Clayes,2022,VSEV_UNDER_OCC,150.54114
Grenoble,38170,Fontanil-Cornillon,2022,SEV_UNDER_OCC,259.99859
Rouen,76273,Fontaine-sous-Préaux,2022,STD_OCC,9.88766
Saint-Etienne,42036,Chagnon,2022,MOD_OVER_OCC,4.92453
Rouen,76131,La Bouille,2022,MOD_UNDER_OCC,116.20958
Saint-Etienne,42053,Châteauneuf,2022,SEV_UNDER_OCC,229.84207
Rouen,76103,Bonsecours,2022,VSEV_UNDER_OCC,851.7685
Saint-Etienne,42308,La Terrasse-sur-Dorlay,2022,STD_OCC,35.51614
Montpellier,34027,Beaulieu,2022,SEV_UNDER_OCC,159.87105
Saint-Etienne,42053,Châteauneuf,2022,MOD_UNDER_OCC,122.49618
Grenoble,38382,Saint-Égrève,2022,STD_OCC,1902.21282
Rennes,35334,Thorigné-Fouillard,2022,VSEV_UNDER_OCC,1544.09008
Rouen,76131,La Bouille,2022,VSEV_UNDER_OCC,76.43651
Rouen,76282,Freneuse,2022,VSEV_UNDER_OCC,229.42265
Rouen,76103,Bonsecours,2022,SEV_UNDER_OCC,851.7685
Grenoble,38170,Fontanil-Cornillon,2022,VSEV_UNDER_OCC,331.36624
Rouen,76103,Bonsecours,2022,STD_OCC,518.03465
Saint-Etienne,42242,Saint-Joseph,2022,MOD_UNDER_OCC,148.73502
Rennes,35081,Clayes,2022,MOD_OVER_OCC,20.71367
Rennes,35334,Thorigné-Fouillard,2022,MOD_UNDER_OCC,744.79993
Saint-Etienne,42053,Châteauneuf,2022,MOD_OVER_OCC,4.91811
Montpellier,34134,Lavérune,2022,SEV_UNDER_OCC,402.32545
Saint-Etienne,42053,Châteauneuf,2022,STD_OCC,53.78781
Rouen,76131,La Bouille,2022,STD_OCC,45.07122
Grenoble,38382,Saint-Égrève,2022,SEV_UNDER_OCC,1801.44065
Grenoble,38382,Saint-Égrève,2022,MOD_UNDER_OCC,2341.3815
Montpellier,34058,Castries,2022,STD_OCC,629.72982
Saint-Etienne,42242,Saint-Joseph,2022,VSEV_UNDER_OCC,228.22549
Rennes,35334,Thorigné-Fouillard,2022,MOD_OVER_OCC,61.05158
Montpellier,34058,Castries,2022,MOD_OVER_OCC,104.82277
Rennes,35081,Clayes,2022,SEV_OVER_OCC,0.0
Grenoble,38170,Fontanil-Cornillon,2022,STD_OCC,436.48835
Rouen,76273,Fontaine-sous-Préaux,2022,MOD_OVER_OCC,4.95652
Saint-Etienne,42036,Chagnon,2022,SEV_OVER_OCC,0.0
Saint-Etienne,42242,Saint-Joseph,2022,SEV_OVER_OCC,10.151
Saint-Etienne,42242,Saint-Joseph,2022,STD_OCC,128.26447
Saint-Etienne,42036,Chagnon,2022,SEV_UNDER_OCC,88.64151
Rennes,35315,Saint-Sulpice-la-Forêt,2016,SEV_OVER_OCC,0.0
Saint-Etienne,42266,Saint-Nizier-de-Fornas,2016,MOD_OVER_OCC,4.94866
Saint-Etienne,42266,Saint-Nizier-de-Fornas,2016,STD_OCC,19.92221
Rouen,76550,Sahurs,2016,SEV_OVER_OCC,5.0
Rennes,35315,Saint-Sulpice-la-Forêt,2016,STD_OCC,15.0
Rouen,76561,Saint-Aubin-lès-Elbeuf,2016,MOD_UNDER_OCC,1125.0
Montpellier,34169,Montferrier-sur-Lez,2016,MOD_UNDER_OCC,244.12542
Saint-Etienne,42322,La Valla-en-Gier,2016,VSEV_UNDER_OCC,105.2786
Grenoble,38187,Le Gua,2016,SEV_OVER_OCC,5.04778
Rouen,76561,Saint-Aubin-lès-Elbeuf,2016,STD_OCC,765.0
Montpellier,34022,Baillargues,2016,MOD_UNDER_OCC,825.68027
Rouen,76540,Rouen,2016,MOD_UNDER_OCC,14756.03492
Rouen,76750,Yainville,2016,VSEV_UNDER_OCC,106.23158
Saint-Etienne,42234,Saint-Héand,2016,SEV_UNDER_OCC,436.26415
Saint-Etienne,42234,Saint-Héand,2016,STD_OCC,205.94008
Saint-Etienne,42234,Saint-Héand,2016,VSEV_UNDER_OCC,497.02731
Rennes,35315,Saint-Sulpice-la-Forêt,2016,SEV_UNDER_OCC,135.0
Grenoble,38187,Le Gua,2016,MOD_OVER_OCC,20.19112
Rouen,76402,Malaunay,2016,SEV_UNDER_OCC,598.16015
Rouen,76436,Le Mesnil-sous-Jumièges,2016,SEV_OVER_OCC,0.0
Saint-Etienne,42223,Saint-Genest-Lerpt,2016,MOD_UNDER_OCC,738.805
Rouen,76540,Rouen,2016,SEV_OVER_OCC,431.46506
Saint-Etienne,42234,Saint-Héand,2016,MOD_OVER_OCC,0.0
Rouen,76560,Saint-Aubin-Épinay,2016,MOD_OVER_OCC,10.23775
Montpellier,34022,Baillargues,2016,SEV_UNDER_OCC,722.45635
Montpellier,34327,Vendargues,2016,STD_OCC,564.43772
Montpellier,34327,Vendargues,2016,SEV_OVER_OCC,19.63262
Rouen,76561,Saint-Aubin-lès-Elbeuf,2016,SEV_UNDER_OCC,960.0
Saint-Etienne,42322,La Valla-en-Gier,2016,SEV_OVER_OCC,0.0
Rouen,76561,Saint-Aubin-lès-Elbeuf,2016,MOD_OVER_OCC,85.0
Rennes,35315,Saint-Sulpice-la-Forêt,2016,VSEV_UNDER_OCC,255.0
Rouen,76402,Malaunay,2016,SEV_OVER_OCC,0.0
Grenoble,38187,Le Gua,2016,STD_OCC,75.71669
Rouen,76436,Le Mesnil-sous-Jumièges,2016,STD_OCC,20.28922
Montpellier,34022,Baillargues,2016,SEV_OVER_OCC,0.0
Rouen,76540,Rouen,2016,VSEV_UNDER_OCC,5163.19863
Saint-Etienne,42223,Saint-Genest-Lerpt,2016,SEV_UNDER_OCC,623.99071
Saint-Etienne,42110,L'Horme,2016,SEV_UNDER_OCC,413.76816
Saint-Etienne,42110,L'Horme,2016,MOD_UNDER_OCC,696.79404
Saint-Etienne,42110,L'Horme,2016,VSEV_UNDER_OCC,373.22104
Montpellier,34169,Montferrier-sur-Lez,2016,SEV_UNDER_OCC,188.62322
