commune_code,nom,millesimes_1,pourcent_artif_1,surface_artif_1,millesimes_2,pourcent_artif_2,surface_artif_2,flux_surface_1_2,flux_percent_1_2,commune_surface,metropole
34172,Montpellier,2018,74.876857943989,42764746.7974,2021,75.4122385287504,43070521.0483,305774.2509,0.535380584761484,57113436.6100002,Montpellier
34179,Murviel-lès-Montpellier,2018,9.28674099715161,939344.8284,2021,10.0271111917211,1014232.5542,74887.7258,0.740370194569444,10114902.835,Montpellier
34198,Pérols,2018,50.8610007217246,4401289.5028,2021,51.3738872981175,4445672.4735,44382.9707,0.51288657639288,8653564.50000019,Montpellier
34202,Pignan,2018,14.8797270002928,3056765.9809,2021,14.9526771087845,3071752.2377,14986.2568,0.0729501084916642,20543159.03,Montpellier
34217,Prades-le-Lez,2018,25.8917446041071,2275016.5125,2021,26.1257285684167,2295575.8603,20559.3478,0.233983964309619,8786648.20500015,Montpellier
34227,Restinclières,2018,15.3223105707514,960400.1673,2021,15.7479761285751,987080.8217,26680.6544,0.425665557823654,6267985.25499997,Montpellier
34244,Saint-Brès,2018,31.8380971704019,1527558.6362,2021,31.5801876210731,1515184.4055,-12374.2307,-0.25790954932874,4797895.51499983,Montpellier
34249,Saint-Drézéry,2018,14.3827631006347,1501321.7462,2021,14.7302654651689,1537595.2253,36273.4791,0.347502364534209,10438340.2249999,Montpellier
34256,Saint-Geniès-des-Mourgues,2018,10.758266037414,1177975.5372,2021,10.8478406041272,1187783.4977,9807.9605,0.0895745667132068,10949492.5400001,Montpellier
34259,Saint-Georges-d'Orques,2018,25.3433839531283,2364302.5603,2021,25.3003603119866,2360288.8538,-4013.7065,-0.0430236411416658,9329072.095,Montpellier
34270,Saint-Jean-de-Védas,2018,48.7155711060574,6413659.4701,2021,49.2250529800274,6480735.4208,67075.9507,0.509481873970046,13165522.4900002,Montpellier
34295,Saussan,2018,20.3816719462813,734648.6287,2021,22.1896058919294,799814.8328,65166.2041,1.80793394564817,3604457.13499986,Montpellier
34307,Sussargues,2018,21.2630574958471,1371516.9247,2021,21.1076530564501,1361492.975,-10023.9497,-0.155404439397056,6450233.81499989,Montpellier
34327,Vendargues,2018,45.861120893094,4215618.2936,2021,45.616052469724,4193091.2618,-22527.0318,-0.245068423370022,9192139.68500018,Montpellier
34337,Villeneuve-lès-Maguelone,2018,12.7759252545998,4000260.9603,2021,12.774779853921,3999902.3247,-358.6356,-0.00114540067878011,31310929.5850001,Montpellier
35001,Acigné,2017,12.4637716747319,3762898.5228,2020,12.736996610289,3845387.0129,82488.4901,0.273224935557062,30190688.83,Rennes
35022,Bécherel,2017,65.0163910744543,360641.3994,2020,65.0163910564264,360641.3993,-0.0001,-1.80279897676883e-08,554693.045000001,Rennes
35024,Betton,2017,23.0032605756151,6159415.6528,2020,23.6693398116173,6337766.8417,178351.1889,0.666079236002268,26776272.1399999,Rennes
35032,Bourgbarré,2017,21.2082557481807,3136760.1718,2020,21.8740038842747,3235226.1778,98466.006,0.665748136094049,14790278.8850001,Rennes
35039,Brécé,2017,23.5772658486388,1706044.4931,2020,24.7776043778374,1792900.66,86856.1669,1.20033852919861,7235972.58499971,Rennes
35047,Bruz,2017,36.2189384503167,10841409.332,2020,37.0663116164295,11095053.4128,253644.0808,0.847373166112853,29932984.7750003,Rennes
35051,Cesson-Sévigné,2017,39.0708571557251,12553441.4066,2020,40.2285386847778,12925403.7412,371962.3346,1.15768152905273,32129936.0199999,Rennes
35055,Chantepie,2017,33.7672440656509,4037710.4984,2020,33.8791191712054,4051087.9386,13377.4402,0.11187510555451,11957477.1649999,Rennes
35058,La Chapelle-Chaussée,2017,8.17393798420757,1208563.7871,2020,8.34329227404697,1233603.7938,25040.0067,0.169354289839404,14785575.6850003,Rennes
35059,La Chapelle-des-Fougeretz,2017,25.1196508976385,2192928.2423,2020,25.5121453926739,2227192.7417,34264.4994,0.392494495035375,8729931.20499997,Rennes
35065,La Chapelle-Thouarault,2017,17.2730763954331,1341639.5743,2020,17.4198620755016,1353040.7557,11401.1814,0.146785680068469,7767230.01500022,Rennes
35066,Chartres-de-Bretagne,2017,54.7268424031375,5452526.292,2020,54.7455691899158,5454392.0729,1865.7809,0.0187267867782452,9963166.24999985,Rennes
35076,Chavagne,2017,17.9094197479324,2247426.109,2020,18.631142748643,2337994.0413,90567.9323,0.721723000710686,12548849.38,Rennes
35079,Chevaigné,2017,13.4807920690041,1397729.4312,2020,13.501951471865,1399923.3023,2193.8711,0.0211594028608992,10368303.465,Rennes
35080,Cintré,2017,15.0020287114162,1279574.8173,2020,15.5548340843857,1326725.4959,47150.6786,0.552805372969539,8529345.21,Rennes
35081,Clayes,2017,13.9936384527981,605647.1736,2020,14.5090636530695,627954.8684,22307.6948,0.515425200271364,4328017.87500018,Rennes
35088,Corps-Nuds,2017,14.5233750766612,3323887.7354,2020,14.7708851464218,3380534.0508,56646.3154,0.247510069760537,22886469.0050002,Rennes
35120,Gévezé,2017,11.585136715045,3219995.1125,2020,11.8804655360918,3302079.3713,82084.2588,0.295328821046818,27794191.7449999,Rennes
35131,L'Hermitage,2017,36.9992319527265,2566692.6338,2020,37.2322508407452,2582857.5062,16164.8724,0.233018888018684,6937151.1200001,Rennes
35139,Laillé,2017,12.5691899492444,4022322.3853,2020,13.0820326675928,4186439.4648,164117.0795,0.512842718348368,32001444.8150001,Rennes
35144,Langan,2017,11.0218984348347,858234.1751,2020,11.3296900928356,882200.765,23966.5899,0.307791658000983,7786627.505,Rennes
35180,Miniac-sous-Bécherel,2017,7.85898595719154,1066919.7071,2020,7.92400316580255,1075746.3091,8826.602,0.0650172086110103,13575793.5299998,Rennes
35189,Montgermont,2017,38.3303165188042,1794771.6649,2020,38.8362367219665,1818460.7791,23689.1142,0.505920203162269,4682381.53999985,Rennes
35196,Mordelles,2017,16.1324673842008,4861142.1442,2020,16.4091410597052,4944511.2924,83369.1482,0.276673675504387,30132663.7049998,Rennes
35204,Nouvoitou,2017,14.5520037203028,2820992.3579,2020,15.2415196366241,2954659.1139,133666.756,0.689515916321303,19385593.985,Rennes
35206,Noyal-Châtillon-sur-Seiche,2017,21.8322144570427,5771140.4091,2020,22.5875806096082,5970814.3421,199673.933,0.755366152565507,26434058.81,Rennes
35208,Orgères,2017,19.79684992586,3320050.3642,2020,20.6169770172698,3457590.592,137540.2278,0.820127091409745,16770599.2449997,Rennes
35210,Pacé,2017,18.8476880612476,6583678.8601,2020,19.6218145163532,6854088.6823,270409.8222,0.77412645510562,34930962.5600001,Rennes
35216,Parthenay-de-Bretagne,2017,19.0769975975223,928278.0326,2020,19.1446763862606,931571.2517,3293.2191,0.0676787887383838,4865954.54999987,Rennes
35238,Rennes,2017,71.2455852206462,35844885.7678,2020,71.7442811626007,36095788.3187,250902.5509,0.498695941954466,50311729.0099998,Rennes
35240,Le Rheu,2017,29.6635897986702,5677940.954,2020,30.5962047646495,5856453.8294,178512.8754,0.932614965979223,19141112.0250002,Rennes
35245,Romillé,2017,11.199391180232,3243449.5542,2020,11.5584137042034,3347425.871,103976.3168,0.359022523971438,28960945.3050002,Rennes
35250,Saint-Armel,2017,17.7930391119557,1403471.8313,2020,18.8653774657827,1488055.2835,84583.4522,1.07233835382702,7887757.80500008,Rennes
35266,Saint-Erblon,2017,16.609597264407,1816214.649,2020,17.2704770185957,1888480.0671,72265.4181,0.660879754188677,10934730.2050002,Rennes
35275,Saint-Gilles,2017,26.2154052758123,5493402.7179,2020,26.4552608015417,5543664.1189,50261.401,0.239855525729382,20954864.7449998,Rennes
35278,Saint-Grégoire,2017,36.7228902293715,6424760.9167,2020,36.8702131796061,6450535.433,25774.5163,0.147322950234575,17495248.5400002,Rennes
35281,Saint-Jacques-de-la-Lande,2017,67.2321926011182,8293099.5866,2020,67.7889318004901,8361773.4383,68673.8517,0.55673919937189,12335012.8350002,Rennes
35315,Saint-Sulpice-la-Forêt,2017,13.0471448591735,881810.8769,2020,13.0564629254307,882440.6524,629.7755,0.00931806625718323,6758650.16000031,Rennes
35334,Thorigné-Fouillard,2017,25.4085833767627,3448187.5407,2020,26.0726269149381,3538304.5937,90117.053,0.66404353817537,13570955.49,Rennes
35351,Le Verger,2017,13.4681691053807,956316.0646,2020,14.0904666734097,1000502.7062,44186.6416,0.622297568029003,7100564.72499993,Rennes
35352,Vern-sur-Seiche,2017,29.0121938183433,5789026.3873,2020,29.8233236063233,5950877.3585,161850.9712,0.81112978798004,19953769.8650001,Rennes
35353,Vezin-le-Coquet,2017,37.036817308316,2931320.0834,2020,38.0204991320895,3009174.675,77854.5916,0.983681823773487,7914611.17999959,Rennes
35363,Pont-Péan,2017,22.6221654451468,1987345.9606,2020,23.9866519880252,2107215.4234,119869.4628,1.36448654287841,8784950.165,Rennes
38057,Bresson,2018,33.0443589111245,916694.7692,2021,33.1362973745711,919245.2653,2550.4961,0.0919384634466454,2774133.91999986,Grenoble
38059,Brié-et-Angonnes,2018,20.3743849239354,1995380.107,2021,20.6170276706832,2019143.4997,23763.3927,0.242642746747816,9793572.24500001,Grenoble
38068,Champagnier,2018,24.992394194574,1712455.5598,2021,25.4850757726529,1746213.6424,33758.0826,0.492681578078866,6851906.80999975,Grenoble
38071,Champ-sur-Drac,2018,21.1955459660656,1878293.4767,2021,21.2165173756421,1880151.9078,1858.4311,0.0209714095765428,8861736.70500009,Grenoble
38111,Claix,2018,16.7103157477169,3917046.6278,2021,16.7706235034375,3931183.3021,14136.6743,0.060307755720622,23440889.37,Grenoble
38126,Corenc,2018,34.1945451864051,2108337.8256,2021,34.2758466185069,2113350.6393,5012.8137,0.0813014321018031,6165713.90000011,Grenoble
38150,Domène,2018,47.0067387054515,2537548.4783,2021,47.2666128157891,2551577.1723,14028.694,0.259874110337606,5398265.32999984,Grenoble
38151,Échirolles,2018,84.0116146604112,6608996.0082,2021,84.2333829014239,6626441.9938,17445.9856,0.221768241012683,7866764.65499997,Grenoble
38158,Eybens,2018,75.4803528532218,3415738.6937,2021,75.6232535456583,3422205.4285,6466.7348,0.142900692436584,4525334.82500036,Grenoble
38169,Fontaine,2018,55.6863933557931,3737884.9114,2021,55.6863968582741,3737885.1465,0.2351,3.50248105007722e-06,6712384.63500015,Grenoble
38170,Fontanil-Cornillon,2018,35.2913308815286,1873113.1845,2021,35.3803520445155,1877838.0478,4724.8633,0.0890211629869029,5307573.09999999,Grenoble
38179,Gières,2018,37.7271258505688,2671202.5122,2021,37.7236610624958,2670957.194,-245.3182,-0.00346478807300343,7080323.3800004,Grenoble
38185,Grenoble,2018,87.9542643958162,16191366.3496,2021,88.6389416539161,16317407.5415,126041.1919,0.684677258099967,18408847.44,Grenoble
38187,Le Gua,2018,5.29973273659793,1518423.9021,2021,5.32102587415655,1524524.5888,6100.6867,0.0212931375586241,28650952.3700006,Grenoble
38188,Herbeys,2018,15.9463133560635,1266540.6329,2021,16.1618508523904,1283659.762,17119.1291,0.21553749632686,7942529.44000002,Grenoble
38200,Jarrie,2018,21.3788791630429,2851516.6708,2021,21.5620281468004,2875945.0974,24428.4266,0.183148983757526,13338008.2700001,Grenoble
38229,Meylan,2018,51.3046630029123,6497188.264,2021,51.4089920929767,6510400.4303,13212.1663,0.104329090064354,12663933.2249998,Grenoble
38235,Miribel-Lanchâtre,2018,3.72588786761728,354350.5772,2021,3.72588771725716,354350.5629,-0.0143,-1.50360122574966e-07,9510500.31000016,Grenoble
38252,Montchaboud,2018,12.6420171681687,250541.5847,2021,12.8343219532756,254352.7127,3811.128,0.19230478510695,1981816.51999998,Grenoble
38258,Mont-Saint-Martin,2018,2.02187682865304,104174.8472,2021,2.04119497158035,105170.192,995.3448,0.0193181429273102,5152383.45500011,Grenoble
38271,Murianette,2018,10.7940520330846,666802.0268,2021,10.8812386383762,672187.975,5385.9482,0.0871866052916701,6177495.01999994,Grenoble
38277,Notre-Dame-de-Commiers,2018,6.68950909617549,377399.6492,2021,6.69193679112056,377536.6116,136.9624,0.00242769494507034,5641664.34000016,Grenoble
38279,Notre-Dame-de-Mésage,2018,15.9403062452324,731937.8946,2021,16.0760916433607,738172.8111,6234.9165,0.135785398128302,4591742.99000007,Grenoble
38281,Noyarey,2018,8.69010506586504,1480477.3366,2021,8.75577608106464,1491665.2853,11187.9487,0.0656710151995927,17036357.1599997,Grenoble
38309,Poisat,2018,24.5707905136164,620699.5247,2021,24.6154300173781,621827.1937,1127.669,0.0446395037616512,2526168.31499998,Grenoble
38317,Le Pont-de-Claix,2018,70.3323565464772,4003075.9777,2021,70.5639715226145,4016258.706,13182.7283,0.231614976137323,5691656.26500042,Grenoble
38325,Proveysieux,2018,2.60207543870884,528568.2787,2021,2.60681819778958,529531.6912,963.4125,0.00474275908073896,20313334.1499998,Grenoble
38328,Quaix-en-Chartreuse,2018,5.7371534868767,1049442.8599,2021,5.7468710035622,1051220.3927,1777.5328,0.00971751668549992,18292047.83,Grenoble
38364,Saint-Barthélemy-de-Séchilienne,2018,4.40705716520011,542623.2066,2021,4.4105788079972,543056.8123,433.6057,0.00352164279708944,12312597.415,Grenoble
38382,Saint-Égrève,2018,57.9778183132696,6243763.919,2021,58.1476658362977,6262055.1874,18291.2684,0.169847523028118,10769228.8200002,Grenoble
38388,Saint-Georges-de-Commiers,2018,10.35633508029,1468771.4889,2021,10.4437136634024,1481163.8237,12392.3348,0.0873785831123772,14182348.0749994,Grenoble
38421,Saint-Martin-d'Hères,2018,72.6487792770746,6908739.0892,2021,73.0381404921717,6945766.4842,37027.395,0.389361215097139,9509780.00999964,Grenoble
38423,Saint-Martin-le-Vinoux,2018,21.5372933626138,2149332.1823,2021,21.8244269238441,2177986.9159,28654.7336,0.287133561230323,9979583.53499976,Grenoble
38436,Saint-Paul-de-Varces,2018,7.92673549671757,1579060.1264,2021,7.97951844277997,1589574.8516,10514.7252,0.0527829460624076,19920686.4800003,Grenoble
38445,Saint-Pierre-de-Mésage,2018,8.98336521717342,632617.7286,2021,8.98778942895586,632929.2861,311.5575,0.00442421178243713,7042101.85500006,Grenoble
38471,Le Sappey-en-Chartreuse,2018,6.36202660493307,953390.4807,2021,6.36495206800707,953828.8801,438.3994,0.00292546307399544,14985641.2099998,Grenoble
38472,Sarcenas,2018,3.87750291345801,307324.3229,2021,3.90096719664174,309184.0623,1859.7394,0.0234642831837268,7925830.86999988,Grenoble
38474,Sassenage,2018,30.4072350140293,4044026.5661,2021,30.6734477077198,4079431.6664,35405.1003,0.266212693690488,13299553.755,Grenoble
38478,Séchilienne,2018,5.15159646852093,1047804.7613,2021,5.16614471635265,1050763.7903,2959.029,0.0145482478317218,20339418.4250001,Grenoble
38485,Seyssinet-Pariset,2018,26.8724126362801,2892081.7257,2021,27.0221009187606,2908191.5835,16109.8578,0.149688282480543,10762270.4549998,Grenoble
38486,Seyssins,2018,38.9205628248331,3109612.9919,2021,39.0230712637768,3117803.0475,8190.0556,0.102508438943687,7989640.35000009,Grenoble
38516,La Tronche,2018,39.0485565343513,2519258.7078,2021,39.3312195896128,2537495.0122,18236.3044,0.282663055261565,6451605.21,Grenoble
38524,Varces-Allières-et-Risset,2018,20.3466915676221,4248116.1691,2021,20.5429954899531,4289101.7939,40985.6248,0.196303922330959,20878658.1099999,Grenoble
38528,Vaulnaveys-le-Bas,2018,9.75879332599795,1160264.733,2021,9.83845192001054,1169735.6844,9470.9514,0.0796585940125887,11889428.2749999,Grenoble
38529,Vaulnaveys-le-Haut,2018,14.8230957295389,2469295.5277,2021,14.9638414873069,2492741.566,23446.0383,0.140745757768027,16658433.3849999,Grenoble
38533,Venon,2018,16.3151964238117,699684.6816,2021,16.3198834320967,699885.6861,201.0045,0.00468700828503543,4288545.86499998,Grenoble
38540,Veurey-Voroize,2018,12.3412043612171,1545572.872,2021,12.3739043454581,1549668.1132,4095.2412,0.0326999842409741,12523679.4299999,Grenoble
38545,Vif,2018,16.0252725238922,4375152.3267,2021,16.2200362859208,4428325.9077,53173.581,0.194763762028597,27301578.3049995,Grenoble
38562,Vizille,2018,29.4940884022633,3184261.4032,2021,29.3688874906281,3170744.3748,-13517.0284,-0.125200911635233,10796269.95,Grenoble
42001,Aboën,2019,6.47078392395051,579581.7747,2022,6.50609539994969,582744.589,3162.8143,0.0353114759991788,8956901.99999998,Saint-Etienne
42005,Andrézieux-Bouthéon,2019,61.9268232999673,9813425.758,2022,63.7570972791574,10103465.79,290040.032,1.83027397919006,15846809.5650002,Saint-Etienne
42031,Caloire,2019,8.79217994430243,413748.6089,2022,8.79217977642701,413748.601,-0.0079,-1.6787541845531e-07,4705870.57500023,Saint-Etienne
42032,Cellieu,2019,12.6160953651467,1522047.436,2022,12.6516994163971,1526342.8264,4295.3904,0.0356040512504325,12064330.4599997,Saint-Etienne
42036,Chagnon,2019,17.3038965900833,430678.5225,2022,17.3591511251663,432053.7585,1375.236,0.0552545350829732,2488910.63500008,Saint-Etienne
42043,Chambœuf,2019,13.5450061623689,1522970.872,2022,13.6722029024987,1537272.5953,14301.7233,0.12719674012977,11243781.3149998,Saint-Etienne
42044,Le Chambon-Feugerolles,2019,29.3994920338244,5128692.8144,2022,29.4367198446817,5135187.1445,6494.3301,0.0372278108573667,17444834.7900004,Saint-Etienne
42053,Châteauneuf,2019,14.0777690966829,1905285.3519,2022,14.1776432581705,1918802.3215,13516.9696,0.0998741614876337,13534000.5849999,Saint-Etienne
42083,Dargoire,2019,20.4428422383723,398432.1758,2022,20.4578255649353,398724.2017,292.0259,0.0149833265629979,1949005.77499992,Saint-Etienne
42085,Doizieux,2019,3.56822489483726,995696.7015,2022,3.57826380792077,998498.0139,2801.3124,0.0100389130835108,27904538.8349999,Saint-Etienne
42092,L'Étrat,2019,24.9776510454707,2165590.8364,2022,25.0683134489993,2173451.3702,7860.5338,0.0906624035285937,8670114.06500009,Saint-Etienne
42093,Farnay,2019,11.797621850577,872871.7822,2022,11.7976220803467,872871.7992,0.017,2.29769796078472e-07,7398709.61500019,Saint-Etienne
42095,Firminy,2019,49.7463536509042,5209594.333,2022,49.7816728374532,5213293.0691,3698.7361,0.0353191865490246,10472313.95,Saint-Etienne
42096,Fontanès,2019,10.1651255937027,700272.1502,2022,10.2249139739497,704390.952,4118.8018,0.0597883802470367,6888967.02499986,Saint-Etienne
42097,La Fouillouse,2019,20.9457788416788,4412181.0101,2022,21.2145919671196,4468805.8879,56624.8778,0.268813125440889,21064774.1650001,Saint-Etienne
42099,Fraisses,2019,40.305756681658,1880281.4772,2022,40.3135775995842,1880646.3265,364.8493,0.00782091792616768,4665044.4800002,Saint-Etienne
42100,La Gimond,2019,10.7942932630874,365848.3823,2022,10.9306691471729,370470.5373,4622.155,0.13637588408559,3389275.91999998,Saint-Etienne
42103,La Grand-Croix,2019,54.3187975787552,2190175.991,2022,55.4477472531608,2235696.1163,45520.1253,1.12894967440553,4032077.45499986,Saint-Etienne
42110,L'Horme,2019,55.7100199304738,2496390.7924,2022,56.0335971333215,2510890.4309,14499.6385,0.323577202847737,4481044.51500018,Saint-Etienne
