CODGEO,LIBGEO,ILTR1_SEXE1_TRANS_191,ILTR1_SEXE1_TRANS_192,ILTR1_SEXE1_TRANS_193,ILTR1_SEXE1_TRANS_194,ILTR1_SEXE1_TRANS_195,ILTR1_SEXE1_TRANS_196,ILTR1_SEXE2_TRANS_191,ILTR1_SEXE2_TRANS_192,ILTR1_SEXE2_TRANS_193,ILTR1_SEXE2_TRANS_194,ILTR1_SEXE2_TRANS_195,ILTR1_SEXE2_TRANS_196,ILTR2_SEXE1_TRANS_191,ILTR2_SEXE1_TRANS_192,ILTR2_SEXE1_TRANS_193,ILTR2_SEXE1_TRANS_194,ILTR2_SEXE1_TRANS_195,ILTR2_SEXE1_TRANS_196,ILTR2_SEXE2_TRANS_191,ILTR2_SEXE2_TRANS_192,ILTR2_SEXE2_TRANS_193,ILTR2_SEXE2_TRANS_194,ILTR2_SEXE2_TRANS_195,ILTR2_SEXE2_TRANS_196,ILTR3_SEXE1_TRANS_191,ILTR3_SEXE1_TRANS_192,ILTR3_SEXE1_TRANS_193,ILTR3_SEXE1_TRANS_194,ILTR3_SEXE1_TRANS_195,ILTR3_SEXE1_TRANS_196,ILTR3_SEXE2_TRANS_191,ILTR3_SEXE2_TRANS_192,ILTR3_SEXE2_TRANS_193,ILTR3_SEXE2_TRANS_194,ILTR3_SEXE2_TRANS_195,ILTR3_SEXE2_TRANS_196,ILTR4_SEXE1_TRANS_191,ILTR4_SEXE1_TRANS_192,ILTR4_SEXE1_TRANS_193,ILTR4_SEXE1_TRANS_194,ILTR4_SEXE1_TRANS_195,ILTR4_SEXE1_TRANS_196,ILTR4_SEXE2_TRANS_191,ILTR4_SEXE2_TRANS_192,ILTR4_SEXE2_TRANS_193,ILTR4_SEXE2_TRANS_194,ILTR4_SEXE2_TRANS_195,ILTR4_SEXE2_TRANS_196,ILTR5_SEXE1_TRANS_191,ILTR5_SEXE1_TRANS_192,ILTR5_SEXE1_TRANS_193,ILTR5_SEXE1_TRANS_194,ILTR5_SEXE1_TRANS_195,ILTR5_SEXE1_TRANS_196,ILTR5_SEXE2_TRANS_191,ILTR5_SEXE2_TRANS_192,ILTR5_SEXE2_TRANS_193,ILTR5_SEXE2_TRANS_194,ILTR5_SEXE2_TRANS_195,ILTR5_SEXE2_TRANS_196,FiltreCom
34217,Prades-le-Lez,23.9805920922,4.6974030496,9.5492305688,5.1760732006,130.7715689968,4.8518275192,63.2535653043,24.9343747843,4.6974030496,4.5478936181,101.1668654586,5.0113286059,0,4.5478936181,77.1231037835,73.1519399028,835.1198511447,24.2692908301,0,0,39.494244269,14.4010580879,1039.3293196914,19.5871229437,0,0,0,0,43.5221764371,0,0,0,0,0,23.491930286,0,0,0,0,0,14.7200602613,14.5708792998,0,0,0,0,23.192911423,9.7087316554,0,0,0,0,0,0,0,0,0,0,0,0,true
34227,Restinclières,36.3159347548,10.3435240869,5.1555366498,0,77.7224594315,0,20.643825438,20.6977972387,0,0,62.1475895212,0,0,0,0,10.3434788388,352.0145558951,0,0,0,0,0,357.1590718493,5.1663309627,0,0,0,0,15.5315342192,0,0,0,0,0,36.2185371449,0,0,0,0,0,51.7390506684,0,5.1663309627,0,0,0,5.1771478761,0,0,0,0,0,5.1771478761,0,0,0,0,0,0,0,true
34244,Saint-Brès,28.7784145333,0,4.9995466964,0,81.1180653158,0,56.7641330067,9.5812879394,0,0,32.7771078069,0,0,0,0,24.1879444291,508.2837447726,4.9995466964,0,0,4.7906439697,4.5904701042,709.0276074749,9.3811140739,0,0,0,4.7906439697,84.0722290514,0,4.5904701042,0,0,0,22.9607146527,8.7973207406,0,0,0,0,23.3697912448,13.5879647103,4.7906439697,0,0,0,13.9715841781,0,0,0,0,0,0,0,0,0,0,0,0,0,true
34249,Saint-Drézéry,25,0,0,0,80,0,35,5,0,0,70,0,0,0,0,15,475,10,0,0,5,10,565,10,0,0,0,5,65,0,0,0,0,0,15,0,0,0,0,0,25,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,true
34256,Saint-Geniès-des-Mourgues,5.5849045098,16.7591947094,0,0,60.6717520406,0,11.0138346221,16.9151691069,0,0,54.163822432,0,0,0,0,15.9835536022,276.6898222931,0,0,0,0,5.5849045098,332.6907325628,16.1395279998,0,0,0,0,102.7340247985,5.4289301123,0,0,0,0,21.4210741204,10.8578602246,0,0,0,0,5.4289301123,5.5849045098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4289301123,0,true
34259,Saint-Georges-d'Orques,40,25,0,5,140,5,60,50,5,0,85,5,0,5,45,70,790,45,0,15,15,0,890,35,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,10,25,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,true
34270,Saint-Jean-de-Védas,93.2286134166,71.5343502244,38.8663685723,26.1029699778,376.805430494,12.4930136334,155.2398676371,144.5647004788,46.4186029659,8.9283807351,410.142436713,22.5383370794,0,12.2809243175,121.3800926939,126.4572393576,1351.9707155699,108.2841452627,4.6933464186,9.1758135563,43.9833041439,8.9283807351,1549.5247454,169.1288536575,0,0,0,0,60.9222313747,4.4583049629,0,0,0,0,39.7488593063,8.257979317,0,4.6933464186,0,8.4700686329,81.9440616877,22.79754071,4.0229450006,0,0,0,22.1525752945,13.1745963821,0,0,0,0,4.2350343164,4.6933464186,0,0,0,0,0,0,true
34295,Saussan,5.2338218621,0,5.1130682288,0,46.1383595163,0,0,5.2338218621,0,0,36.2151723939,0,0,0,0,25.9261927378,216.6934858072,5.0537402156,0,5.2338218621,0,0,279.3123176167,15.3992291765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2338218621,0,0,0,0,0,0,5.0537402156,0,0,0,0,0,0,0,0,0,0,0,0,true
34307,Sussargues,14.9869241492,0,0,5.02850032,74.9646782664,0,55.5271390926,20.0255777475,9.956368831,0,55.5291940908,0,0,0,0,40.4457489688,396.3395784696,9.9604377022,0,0,5.1311871273,0,396.5410066054,15.2908745746,0,0,0,0,40.1355496187,4.927868511,0,0,0,0,20.013369471,5.1311871273,0,0,0,0,15.2908745746,10.05700064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
34327,Vendargues,53.4863405872,10.9015812496,0,10.7755842384,253.3816727522,5.5152981022,32.127584993,53.807004983,0,0,242.8572567469,5.3862831474,0,0,10.7091949977,53.8643403929,977.7766497655,21.6100128057,0,10.4630784341,10.7725662948,0,1062.9205835188,75.7331286912,0,0,0,0,75.2842482893,0,0,0,0,0,27.1253109078,0,0,0,0,0,38.0917813556,5.450408904,0,0,0,0,10.7091949977,0,0,0,0,0,5.3862831474,0,0,0,0,0,0,0,true
