metropole,code_commune,nom_commune,annee,lieu_travail,sexe,mode_transport,valeur
Grenoble,38540,Veurey-Voroize,2020,Commune de résidence,Hommes,Pas de transport,10.092323078
Grenoble,38545,Vif,2020,Commune de résidence,Hommes,Pas de transport,46.0947636557
Grenoble,38562,Vizille,2020,Commune de résidence,Hommes,Pas de transport,50.3990570545
Saint-Étienne,42001,Aboën,2020,Commune de résidence,Hommes,Pas de transport,0.0
Saint-Étienne,42005,Andrézieux-Bouthéon,2020,Commune de résidence,Hommes,Pas de transport,56.0264362861
Saint-Étienne,42031,Caloire,2020,Commune de résidence,Hommes,Pas de transport,0.0
Saint-Étienne,42032,Cellieu,2020,Commune de résidence,Hommes,Pas de transport,10.0738902683
Saint-Étienne,42036,Chagnon,2020,Commune de résidence,Hommes,Pas de transport,9.6852479583
Saint-Étienne,42043,Chambœuf,2020,Commune de résidence,Hommes,Pas de transport,20.9772768157
Saint-Étienne,42044,Le Chambon-Feugerolles,2020,Commune de résidence,Hommes,Pas de transport,21.4799271258
Saint-Étienne,42053,Châteauneuf,2020,Commune de résidence,Hommes,Pas de transport,5.3274022078
Saint-Étienne,42083,Dargoire,2020,Commune de résidence,Hommes,Pas de transport,0.0
Saint-Étienne,42085,Doizieux,2020,Commune de résidence,Hommes,Pas de transport,4.3846033923
Saint-Étienne,42092,L'Étrat,2020,Commune de résidence,Hommes,Pas de transport,0.0
Saint-Étienne,42093,Farnay,2020,Commune de résidence,Hommes,Pas de transport,15.0
Saint-Étienne,42095,Firminy,2020,Commune de résidence,Hommes,Pas de transport,50.1573474202
Saint-Étienne,42096,Fontanès,2020,Commune de résidence,Hommes,Pas de transport,0.0
Saint-Étienne,42097,La Fouillouse,2020,Commune de résidence,Hommes,Pas de transport,25.971490092
Saint-Étienne,42099,Fraisses,2020,Commune de résidence,Hommes,Pas de transport,0.0
Saint-Étienne,42100,La Gimond,2020,Commune de résidence,Hommes,Pas de transport,5.0
Saint-Étienne,42103,La Grand-Croix,2020,Commune de résidence,Hommes,Pas de transport,20.999480824
Saint-Étienne,42110,L'Horme,2020,Commune de résidence,Hommes,Pas de transport,5.0229383028
Saint-Étienne,42123,Lorette,2020,Commune de résidence,Hommes,Pas de transport,0.0
Saint-Étienne,42133,Marcenod,2020,Commune de résidence,Hommes,Pas de transport,5.0235784226
Saint-Étienne,42167,Pavezin,2020,Commune de résidence,Hommes,Pas de transport,10.0
Saint-Étienne,42183,La Ricamarie,2020,Commune de résidence,Hommes,Pas de transport,46.097873096
Saint-Étienne,42186,Rive-de-Gier,2020,Commune de résidence,Hommes,Pas de transport,23.4763560504
Saint-Étienne,42189,Roche-la-Molière,2020,Commune de résidence,Hommes,Pas de transport,29.6336079145
Saint-Étienne,42192,Rozier-Côtes-d'Aurec,2020,Commune de résidence,Hommes,Pas de transport,5.0052566371
Saint-Étienne,42206,Saint-Bonnet-les-Oules,2020,Commune de résidence,Hommes,Pas de transport,14.1344694647
Saint-Étienne,42207,Saint-Chamond,2020,Commune de résidence,Hommes,Pas de transport,117.7438019348
Saint-Étienne,42208,Saint-Christo-en-Jarez,2020,Commune de résidence,Hommes,Pas de transport,10.0
Saint-Étienne,42210,Sainte-Croix-en-Jarez,2020,Commune de résidence,Hommes,Pas de transport,15.0
Saint-Étienne,42218,Saint-Étienne,2020,Commune de résidence,Hommes,Pas de transport,567.1302616493
Saint-Étienne,42222,Saint-Galmier,2020,Commune de résidence,Hommes,Pas de transport,26.5659283137
Saint-Étienne,42223,Saint-Genest-Lerpt,2020,Commune de résidence,Hommes,Pas de transport,34.7967993652
Saint-Étienne,42225,Genilac,2020,Commune de résidence,Hommes,Pas de transport,10.7825587712
Saint-Étienne,42234,Saint-Héand,2020,Commune de résidence,Hommes,Pas de transport,60.0
Saint-Étienne,42237,Saint-Jean-Bonnefonds,2020,Commune de résidence,Hommes,Pas de transport,15.0417848417
Saint-Étienne,42242,Saint-Joseph,2020,Commune de résidence,Hommes,Pas de transport,10.1393442483
Saint-Étienne,42259,Saint-Martin-la-Plaine,2020,Commune de résidence,Hommes,Pas de transport,19.8646647393
Saint-Étienne,42262,Saint-Maurice-en-Gourgois,2020,Commune de résidence,Hommes,Pas de transport,14.8291749152
Saint-Étienne,42266,Saint-Nizier-de-Fornas,2020,Commune de résidence,Hommes,Pas de transport,5.0259914083
Saint-Étienne,42270,Saint-Paul-en-Cornillon,2020,Commune de résidence,Hommes,Pas de transport,5.0
Saint-Étienne,42271,Saint-Paul-en-Jarez,2020,Commune de résidence,Hommes,Pas de transport,35.0626274898
Saint-Étienne,42275,Saint-Priest-en-Jarez,2020,Commune de résidence,Hommes,Pas de transport,9.9471902851
Saint-Étienne,42283,Saint-Romain-en-Jarez,2020,Commune de résidence,Hommes,Pas de transport,30.0
Saint-Étienne,42302,Sorbiers,2020,Commune de résidence,Hommes,Pas de transport,41.3066119625
Saint-Étienne,42305,La Talaudière,2020,Commune de résidence,Hommes,Pas de transport,30.8837980309
Saint-Étienne,42307,Tartaras,2020,Commune de résidence,Hommes,Pas de transport,10.0
Saint-Étienne,42308,La Terrasse-sur-Dorlay,2020,Commune de résidence,Hommes,Pas de transport,5.0
Saint-Étienne,42311,La Tour-en-Jarez,2020,Commune de résidence,Hommes,Pas de transport,0.0
Saint-Étienne,42316,Unieux,2020,Commune de résidence,Hommes,Pas de transport,10.0554233595
Saint-Étienne,42320,Valfleury,2020,Commune de résidence,Hommes,Pas de transport,10.0
Saint-Étienne,42322,La Valla-en-Gier,2020,Commune de résidence,Hommes,Pas de transport,0.0
Saint-Étienne,42330,Villars,2020,Commune de résidence,Hommes,Pas de transport,4.8530215371
Rouen,76005,Amfreville-la-Mi-Voie,2020,Commune de résidence,Hommes,Pas de transport,5.1777948794
Rouen,76020,Anneville-Ambourville,2020,Commune de résidence,Hommes,Pas de transport,9.9298815199
Rouen,76039,Les Authieux-sur-le-Port-Saint-Ouen,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76056,Bardouville,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76069,Belbeuf,2020,Commune de résidence,Hommes,Pas de transport,20.3256535538
Rouen,76088,Berville-sur-Seine,2020,Commune de résidence,Hommes,Pas de transport,14.8663680784
Rouen,76095,Bihorel,2020,Commune de résidence,Hommes,Pas de transport,25.0
Rouen,76103,Bonsecours,2020,Commune de résidence,Hommes,Pas de transport,30.0385971638
Rouen,76108,Bois-Guillaume,2020,Commune de résidence,Hommes,Pas de transport,46.6375065805
Rouen,76116,Boos,2020,Commune de résidence,Hommes,Pas de transport,30.969046504
Rouen,76131,La Bouille,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76157,Canteleu,2020,Commune de résidence,Hommes,Pas de transport,34.5616215526
Rouen,76165,Caudebec-lès-Elbeuf,2020,Commune de résidence,Hommes,Pas de transport,25.7494446814
Rouen,76178,Cléon,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76212,Darnétal,2020,Commune de résidence,Hommes,Pas de transport,35.3008654445
Rouen,76216,Déville-lès-Rouen,2020,Commune de résidence,Hommes,Pas de transport,53.3399506885
Rouen,76222,Duclair,2020,Commune de résidence,Hommes,Pas de transport,25.0
