CODGEO,LIBGEO,ILTR1_SEXE1_TRANS_191,ILTR1_SEXE1_TRANS_192,ILTR1_SEXE1_TRANS_193,ILTR1_SEXE1_TRANS_194,ILTR1_SEXE1_TRANS_195,ILTR1_SEXE1_TRANS_196,ILTR1_SEXE2_TRANS_191,ILTR1_SEXE2_TRANS_192,ILTR1_SEXE2_TRANS_193,ILTR1_SEXE2_TRANS_194,ILTR1_SEXE2_TRANS_195,ILTR1_SEXE2_TRANS_196,ILTR2_SEXE1_TRANS_191,ILTR2_SEXE1_TRANS_192,ILTR2_SEXE1_TRANS_193,ILTR2_SEXE1_TRANS_194,ILTR2_SEXE1_TRANS_195,ILTR2_SEXE1_TRANS_196,ILTR2_SEXE2_TRANS_191,ILTR2_SEXE2_TRANS_192,ILTR2_SEXE2_TRANS_193,ILTR2_SEXE2_TRANS_194,ILTR2_SEXE2_TRANS_195,ILTR2_SEXE2_TRANS_196,ILTR3_SEXE1_TRANS_191,ILTR3_SEXE1_TRANS_192,ILTR3_SEXE1_TRANS_193,ILTR3_SEXE1_TRANS_194,ILTR3_SEXE1_TRANS_195,ILTR3_SEXE1_TRANS_196,ILTR3_SEXE2_TRANS_191,ILTR3_SEXE2_TRANS_192,ILTR3_SEXE2_TRANS_193,ILTR3_SEXE2_TRANS_194,ILTR3_SEXE2_TRANS_195,ILTR3_SEXE2_TRANS_196,ILTR4_SEXE1_TRANS_191,ILTR4_SEXE1_TRANS_192,ILTR4_SEXE1_TRANS_193,ILTR4_SEXE1_TRANS_194,ILTR4_SEXE1_TRANS_195,ILTR4_SEXE1_TRANS_196,ILTR4_SEXE2_TRANS_191,ILTR4_SEXE2_TRANS_192,ILTR4_SEXE2_TRANS_193,ILTR4_SEXE2_TRANS_194,ILTR4_SEXE2_TRANS_195,ILTR4_SEXE2_TRANS_196,ILTR5_SEXE1_TRANS_191,ILTR5_SEXE1_TRANS_192,ILTR5_SEXE1_TRANS_193,ILTR5_SEXE1_TRANS_194,ILTR5_SEXE1_TRANS_195,ILTR5_SEXE1_TRANS_196,ILTR5_SEXE2_TRANS_191,ILTR5_SEXE2_TRANS_192,ILTR5_SEXE2_TRANS_193,ILTR5_SEXE2_TRANS_194,ILTR5_SEXE2_TRANS_195,ILTR5_SEXE2_TRANS_196
34217,Prades-le-Lez,24.5428024236,4.8604032836,9.7985856635,5.0974944942,133.1952617739,4.9381823799,64.2803733745,25.0159204096,4.8604032836,4.7838492509,103.3253618845,5.0172061441,0,4.7838492509,78.7271669831,74.2444356789,852.0272895329,24.6934012353,0,0,39.8316312654,14.7367680434,1059.6166200107,19.8367322691,0,0,0,0,44.3683516585,0,0,0,0,0,24.3032414814,0,0,0,0,0,14.8948155718,14.8183010613,0,0,0,0,24.1501334161,9.8776094277,0,0,0,0,0,0,0,0,0,0,0,0
34227,Restinclières,38.0150222437,10.7936863834,5.3629824937,0,81.2573961365,0,21.4972641866,21.6096633647,0,0,64.9423315289,0,0,0,0,10.793497539,367.6826728537,0,0,0,0,0,373.0222304954,5.385461936,0,0,0,0,16.2244852892,0,0,0,0,0,37.8116692116,0,0,0,0,0,54.0127296488,0,5.385461936,0,0,0,5.408035603,0,0,0,0,0,5.408035603,0,0,0,0,0,0,0
34244,Saint-Brès,29.5521018147,0,5.0271525575,0,83.523826458,0,58.7018806023,9.847889966,0,0,34.0738116827,0,0,0,0,24.729245552,524.5022168617,5.0271525575,0,0,4.923944983,4.8228562627,733.5922866508,9.7468012457,0,0,0,4.923944983,87.5294975417,0,4.8228562627,0,0,0,24.1163566677,9.4476857931,0,0,0,0,24.3206529625,14.3716307761,4.923944983,0,0,0,14.5696575084,0,0,0,0,0,0,0,0,0,0,0,0,0
34249,Saint-Drézéry,24.8551962064,0,0,0,81.5940419165,0,35.0908648214,4.8491669939,0,0,70.8870093448,0,0,0,0,15.2419939334,483.1680787256,10.0030054264,0,0,5.1586240321,10.0030054264,574.7749210319,10.1601267453,0,0,0,5.0015027132,66.1998054978,0,0,0,0,0,14.8509944517,0,0,0,0,0,25.2449993598,0,0,0,0,0,5.0015027132,0,0,0,0,0,5.2390260895,4.9247458692,0,0,0,0,0,0
34256,Saint-Geniès-des-Mourgues,9.7291774257,4.906476858,0,0,68.1157849697,0,19.29223272,34.182126471,4.906476858,0,48.32084481,4.8227005677,0,0,9.4807094533,9.6454011353,288.2490751633,4.906476858,0,0,0,0,313.5427225572,0,0,0,4.7403547267,0,29.0214101457,0,0,0,0,0,34.0160043396,9.6454011353,0,0,0,0,4.7403547267,0,0,0,0,0,4.8227005677,4.8227005677,0,0,0,0,0,0,0,0,0,0,0,0
34259,Saint-Georges-d'Orques,39.7403339204,25.0517823015,0,4.8295307686,140.2149494698,4.9896966344,59.5899381669,50.1181652794,4.935726356,0,84.8324892673,4.935726356,0,4.935726356,44.9119973872,70.3509406721,789.8591111039,45.0187575854,0,15.1885247887,14.917480272,0,890.5046727273,35.3655530171,0,0,0,0,4.935726356,0,0,0,0,0,4.935726356,0,0,4.935726356,0,0,9.9793932688,25.1673214602,0,4.9896966344,0,0,4.8295307686,5.0442570571,0,0,0,0,0,0,0,0,0,0,0,0
34270,Saint-Jean-de-Védas,99.0064566179,75.6823239589,41.8890654933,28.0312516734,400.4903488738,13.7343407129,164.9730406766,154.6410787997,50.6628870182,9.4571875201,439.6767338735,23.7540984806,0,13.624517077,128.0499842254,133.1033298143,1437.2352170229,104.0766565034,4.8424660705,9.5752406375,46.9511135649,9.4571875201,1653.3245867703,181.8648186705,0,0,0,0,65.4098672309,4.727222445,0,0,0,0,42.3364573859,9.1196192633,0,4.8424660705,0,9.2294428992,85.8459782251,23.8748942281,4.5048978137,0,0,0,23.5430134469,14.0745863292,0,0,0,0,4.6147214496,4.8424660705,0,0,0,0,0,0
34295,Saussan,0,4.1603316799,4.3867430859,0,34.5739699835,0,4.2344730255,4.2344730255,4.5444887206,0,17.2410874021,0,0,0,8.6966787313,25.9404797409,315.1440249214,4.3099356454,0,0,12.7788816963,12.9311517568,276.5798393379,4.2344730255,0,0,0,4.2344730255,12.9338178517,0,0,0,0,0,0,0,0,0,0,0,13.0079591973,4.3867430859,0,0,0,0,8.6198712907,0,0,0,0,0,0,0,0,0,0,0,0,0
34307,Sussargues,14.7771499869,0,0,4.9890450128,74.002753785,0,55.3253902676,19.8062355957,9.7799067381,0,55.3335885037,0,0,0,0,40.3746651732,392.5286331029,9.795977546,0,0,5.1954265363,0,392.9263028698,15.3798980853,0,0,0,0,39.7466440947,4.7908617253,0,0,0,0,19.7579967636,5.1954265363,0,0,0,0,15.3798980853,9.9780900255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34327,Vendargues,55.5126400388,11.4222280667,0,11.226403684,264.0355010285,5.8125678161,33.3616157154,56.0155282541,0,0,253.1987243281,5.6096602506,0,0,11.1205385718,56.100143818,1017.0780280793,22.5409642437,0,10.7425019933,11.2193205012,0,1108.0326600829,79.0486626688,0,0,0,0,78.3447940124,0,0,0,0,0,28.3535320599,0,0,0,0,0,39.8781151067,5.710212836,0,0,0,0,11.1205385718,0,0,0,0,0,5.6096602506,0,0,0,0,0,0,0
